Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
320490605000105;1;0;139017;139017;0;3;6;20;32;23;3;1;0;1;3;
320490605000106;1;0;260179;260179;0;6;12;43;74;49;5;4;0;0;10;
320490605000107;1;1;135205;135205;0;3;21;51;50;9;3;0;0;0;11;
320490605000108;1;0;282339;282339;0;1;3;18;61;51;13;6;0;0;3;
320490605000109;1;0;153606;153606;0;9;18;49;49;26;1;0;0;0;17;
320490605000110;3;0;249534;249534;0;7;23;78;67;31;3;0;0;0;2;
320490605000111;8;0;85783;85783;0;2;11;31;27;10;1;3;0;0;6;
320490605000112;1;0;52500;52500;0;9;18;17;18;8;1;0;0;0;9;
320490605000113;1;0;71022;71022;0;0;3;17;19;14;3;1;0;0;1;
320490605000114;1;0;56259;56259;0;1;6;17;17;11;0;0;0;0;1;
320490605000115;1;0;20644;20644;0;0;3;2;10;3;0;0;0;0;2;
320490605000116;1;0;321418;321418;0;10;27;75;96;56;4;2;2;0;14;
320490605000117;1;0;105602;105602;0;1;8;11;29;26;4;0;0;0;4;
320490605000118;1;0;33175;33175;0;2;2;10;13;6;0;0;0;0;0;
320490605000119;1;0;127587;127587;0;3;12;47;48;18;3;0;0;0;6;
320490605000120;4;3;144619;142769;1850;22;51;75;57;9;2;1;0;0;43;
320490605000121;1;0;81263;81263;0;7;13;27;26;8;1;1;0;0;4;
320490605000122;3;0;34256;34256;0;1;3;13;11;0;1;0;1;0;1;
320490605000123;3;0;123988;123988;0;1;14;34;35;11;2;2;0;0;10;
320490610000001;1;0;51447;51447;0;2;7;11;18;9;0;0;0;0;3;
320490610000002;3;0;280792;280792;0;0;0;7;14;17;10;24;12;0;6;
320490610000003;3;0;300809;300809;0;0;1;7;19;24;7;13;9;2;1;
320490610000004;3;26;235749;204159;31590;2;8;28;41;42;6;9;3;0;8;
320490610000005;3;1;270631;268631;2000;1;8;19;40;36;11;14;7;0;7;
320490610000006;3;0;461460;461460;0;0;0;1;8;13;23;21;14;8;2;
320490610000007;3;1;223303;222503;800;0;3;9;23;26;6;10;5;1;2;
320490610000008;3;0;307218;307218;0;2;6;11;16;40;8;9;8;2;1;
320490610000009;3;0;436672;436672;0;0;1;9;30;35;24;19;17;4;2;
320490610000010;3;0;189861;189861;0;0;1;2;14;22;7;8;5;1;1;
320490610000011;3;0;168185;168185;0;0;1;4;14;14;10;7;4;1;0;
320490610000012;3;1;288552;288202;350;0;3;15;26;38;15;10;3;0;3;
320490610000013;3;1;361401;360621;780;3;16;44;71;38;3;13;7;2;1;
320490610000014;3;0;60190;60190;0;0;7;14;19;4;2;1;0;0;11;
320490610000015;3;0;296157;296157;0;1;4;8;28;46;17;18;4;2;2;
320490610000016;3;0;386295;386295;0;1;1;9;36;47;27;13;7;3;1;
320490610000017;3;1;850549;849649;900;0;2;11;50;71;34;31;30;10;4;
320490610000018;3;2;399568;399058;510;2;11;48;85;52;16;10;3;0;53;
320490610000019;8;0;78421;78421;0;0;11;28;28;9;2;0;0;0;4;
320490610000020;5;0;129812;129812;0;1;16;29;42;15;3;2;0;0;11;
320490610000021;8;1;157619;156619;1000;1;38;48;45;17;6;0;0;0;10;
320490610000022;8;1;248658;247638;1020;15;20;75;80;27;11;1;0;0;9;
320490610000023;8;0;352090;352090;0;5;16;66;77;60;9;7;3;1;3;
