Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;
320390805000016;1;348;1;2;4;5;7;12;6;14;10;10;13;9;5;9;5;4;7;8;9;9;7;5;5;6;1;9;4;7;8;9;8;3;11;8;9;9;7;5;8;5;7;6;6;4;2;1;3;5;2;0;2;0;4;2;5;0;1;0;1;1;1;1;1;1;1;0;0;1;0;1;0;0;0;1;0;5;112;80;116;2;5;2;9;0;
320390805000017;1;512;2;5;5;11;7;9;11;9;8;4;9;15;13;8;8;16;7;13;10;12;6;14;8;14;15;13;11;8;8;7;9;4;8;9;8;13;5;12;8;6;9;6;8;8;8;4;10;6;8;5;9;3;2;6;3;2;3;3;7;1;5;3;1;2;3;2;3;0;1;1;0;2;2;1;0;7;185;115;155;1;11;5;6;4;
320390805000018;1;565;6;4;9;10;6;15;12;11;17;9;10;15;10;19;10;8;8;8;11;10;15;11;10;21;12;6;10;12;7;11;13;8;7;6;8;12;5;10;6;10;13;5;9;15;3;8;6;4;6;7;6;5;4;3;5;3;2;3;2;2;4;2;7;3;2;2;1;1;2;0;2;2;2;2;2;12;195;129;156;3;22;10;10;0;
320390805000019;1;687;1;9;10;10;11;17;15;16;13;12;13;14;9;10;12;10;11;24;11;10;9;16;14;11;23;15;15;13;12;14;10;7;12;10;26;18;9;10;12;14;9;15;12;10;15;11;12;6;8;11;5;8;7;3;3;1;3;4;2;2;3;4;0;1;0;2;1;1;3;1;3;0;1;1;4;7;236;156;203;9;16;10;14;2;
320390805000020;1;681;5;2;8;15;16;14;19;21;25;22;17;24;17;20;18;9;14;17;16;9;16;11;8;19;16;11;16;12;13;17;10;18;9;13;11;11;12;14;6;12;8;7;4;13;8;10;3;7;8;4;6;0;2;4;9;1;5;2;0;1;2;0;2;0;0;1;2;2;0;1;0;1;1;0;1;3;214;155;233;2;10;6;14;1;
320390805000021;1;605;3;9;11;9;17;18;20;13;19;16;12;21;11;9;13;12;17;15;16;17;14;14;11;8;13;19;10;13;10;9;14;7;11;14;9;10;13;11;9;7;5;8;4;4;9;4;3;2;6;2;7;5;5;5;2;4;0;4;3;3;0;1;0;4;0;2;2;3;0;1;0;0;0;0;0;3;198;148;170;4;11;10;12;3;
320390805000022;1;731;0;7;7;4;13;14;12;19;22;22;22;14;17;14;18;20;13;18;19;11;12;15;18;12;12;19;6;22;18;14;12;9;13;15;13;14;10;9;21;17;10;10;12;12;9;8;7;4;6;8;7;6;7;4;2;5;3;4;2;3;8;3;4;2;4;1;2;0;5;1;0;0;1;2;2;0;244;174;219;7;20;6;19;2;
320390805000023;1;509;8;3;5;6;9;16;10;12;11;7;3;12;14;9;10;14;8;16;10;7;11;4;9;12;8;10;14;8;11;11;12;12;8;10;5;8;7;7;3;9;6;3;5;6;6;6;4;6;10;7;10;6;3;9;4;3;8;1;4;2;2;2;4;5;1;1;0;1;1;2;1;2;2;2;0;5;175;113;146;4;14;13;11;1;
320390805000024;1;462;0;0;2;9;4;9;9;7;13;11;8;15;11;15;10;11;6;12;11;14;11;10;4;11;7;5;6;9;9;11;10;3;12;10;14;11;11;5;10;11;7;10;9;8;8;3;3;6;5;3;2;4;2;5;4;0;3;3;4;4;0;1;0;0;2;0;2;2;0;1;0;0;1;1;0;2;154;106;152;2;8;4;9;4;
320390805000025;1;449;7;8;8;7;10;15;12;12;14;17;14;10;5;11;11;11;9;9;7;10;6;11;6;9;8;4;8;7;9;8;7;6;9;5;11;10;7;6;13;3;9;7;6;8;6;8;4;4;4;1;1;2;2;2;3;1;4;0;0;1;2;1;2;1;1;1;0;2;0;1;0;2;0;0;1;2;141;103;133;3;6;5;14;3;
