"Cod_bairro","Nome_do_bairro","IPC"
3201308027,"Boa Sorte",0.611146610746312
3201308028,"São Conrado",0.540804377486956
3201308029,"Vera Cruz",0.614484437104548
3201308030,"Jardim América",0.650035867168413
3201308031,"Chácaras União",0.345217999954842
3201308032,"São Geraldo",0.693793359122514
3201308033,"Parque Gramado",0.548817079230926
3201308034,"Rio Marinho",0.529726649805402
3201308036,"Área não identificada 1/2",0.361692517524661
3201308037,"Alice Coutinho",0.501118707071691
3201308038,"Antônio Ferreira Borges",0.543315994204784
3201308039,"Cariacica Sede",0.512082308312505
3201308040,"Prolar",0.517953546043914
3201308041,"Vila Merlo",0.527213003136638
3201308042,"Porto de Cariacica",0.523308648378593
3201308043,"Santa Luzia",0.539876730400536
3201308044,"São João Batista",0.455821719718934
3201308045,"Tucum",0.532563211251472
3201308046,"Itaciba",0.551884334619995
3201308047,"Nova Brasília",0.602144231127652
3201308048,"Oriente",0.520152993247892
3201308049,"Alto Lage",0.6142876868343
3201308050,"Expedito",0.654083393840166
3201308051,"Sotema",0.643409519884838
3201308052,"Alto da Boa Vista",0.629859148587311
3201308053,"Itaquari",0.631561962470075
3201308054,"Rio Branco",0.544393226938339
3201308055,"Itangua",0.47732782055555
3201308056,"Dom Bosco",0.621324529379939
3201308057,"Santa Cecilia",0.620282682068415
3201308058,"Vila Cajueiro",0.493938019652305
3201308059,"Pica-Pau",0.281054727605532
3201308061,"Nova Rosa da Penha",0.515211092550862
3201308063,"Nova Canaa",0.513089469215724
3201308064,"Porto Novo",0.552412601657465
3201308065,"Presidente Medice",0.56373796328366
3201308066,"Flexal I",0.428747519748762
3201308067,"Retiro Saudoso",0.433954113190599
3201308068,"Grauna",0.528747328090693
3201308069,"Aparecida",0.503792031477207
3201308070,"Porto Santana",0.528951849534806
3201308071,"Nova Valverde",0.52926575900205
3201308072,"Bubú",0.499226733030259
3201308073,"Campo Verde",0.512841741498353
3201308074,"Vila Prudêncio",0.512760196999874
3201308075,"Cangaíba",0.391589581594981
3201308076,"Planeta",0.60050270199148
3201308077,"Santana",0.617764515385002
3201308078,"Tabajara",0.59884726542981
3201308079,"Santo Antônio",0.529292912944804
3201308080,"Novo Horizonte",0.521811008647599
3201308081,"São Gonçalo",0.457144709494387
3201308082,"Piranema",0.454472948654756
3201308083,"Vila dos Reis",0.495715365433615
3201308084,"Novo Brasil",0.482783198443726
3201308085,"Nova Campo Grande",0.283513183035927
3201308086,"Vista Dourada",0.555934979634274
3201308087,"Mucuri",0.535904732799162
3201308088,"Vila Independência",0.604066249436821
3201308089,"Flexal II",0.367740446232348
3201308090,"Serra do Anil",0.3578106052993
3201308091,"Nova Esperança",0.488864878098677
3201308092,"Operário",0.537831979168308
3201308093,"Vila Capixaba",0.664540170053846
3201308094,"Campo Grande",0.695141901597051
3201308095,"Vila Esperança",0.665480488219242
3201308096,"Campina Grande",0.507387418877672
3201308097,"Santo André",0.583223324896087
3201308098,"Formate",0.300139339162328
3201308099,"Tiradentes",0.607704136439499
3201308100,"São Geraldo II",0.662195777892417
3201407000,"CASTELO (todos os setores)",0.521924549893606
3201506000,"COLATINA (demais setores)",0.396106189135654
3201506001,"Adélia Giuberti",0.703352561319712
3201506002,"Aeroporto",0.619279160790195
3201506003,"Alto Vila Nova",0.731556499336002
3201506004,"Ayrton Senna",0.54057238259787
