Cod_setor;Cod_Grandes Regiões;Nome_Grande_Regiao;Cod_UF;Nome_da_UF ;Cod_meso;Nome_da_meso;Cod_micro;Nome_da_micro;Cod_RM;Nome_da_RM;Cod_municipio;Nome_do_municipio;Cod_distrito;Nome_do_distrito;Cod_subdistrito;Nome_do_subdistrito;Cod_bairro;Nome_do_bairro;Situacao_setor;Tipo_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012
320010205000025;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010205;AFONSO CLÁUDIO;32001020500;AFONSO CLÁUDIO;3200102000;AFONSO CLÁUDIO (todos os setores);1;0;209;597;2,86;1,62;1187,23;2753049,85;1198,71;2765961,56;801,55;1725420,01;999,49;1954224,28
320010205000026;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010205;AFONSO CLÁUDIO;32001020500;AFONSO CLÁUDIO;3200102000;AFONSO CLÁUDIO (todos os setores);1;0;121;373;3,08;1,89;619,04;425703,87;814,17;400750,04;476,35;395133,52;766,51;413506,95
320010205000027;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010205;AFONSO CLÁUDIO;32001020500;AFONSO CLÁUDIO;3200102000;AFONSO CLÁUDIO (todos os setores);1;0;147;405;2,76;1,78;787,82;867835,28;904,77;891030,24;584,48;607455,28;827,44;659132,22
320010205000028;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010205;AFONSO CLÁUDIO;32001020500;AFONSO CLÁUDIO;3200102000;AFONSO CLÁUDIO (todos os setores);1;0;142;416;2,93;1,74;586,37;355101,57;699,7;344346,65;410,52;258611,45;622,79;260139,67
320010205000029;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010205;AFONSO CLÁUDIO;32001020500;AFONSO CLÁUDIO;3200102000;AFONSO CLÁUDIO (todos os setores);1;0;245;739;3,02;1,78;1310,76;4718928,68;1372,38;4856786,26;769,22;2252644,98;1124,52;2895074,51
320010205000030;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010205;AFONSO CLÁUDIO;32001020500;AFONSO CLÁUDIO;3200102000;AFONSO CLÁUDIO (todos os setores);1;0;205;620;3,02;1,47;961,61;1500284,46;1000,66;1522244,89;618,78;809214,26;833,74;911361,2
320010213000001;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010213;FAZENDA GUANDU;32001021300;FAZENDA GUANDU;3200102000;AFONSO CLÁUDIO (todos os setores);1;0;226;696;3,08;2,8;487,23;257609,67;679,71;228367,46;393,95;210549,7;650,07;180854,77
320010213000002;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010213;FAZENDA GUANDU;32001021300;FAZENDA GUANDU;3200102000;AFONSO CLÁUDIO (todos os setores);8;0;171;570;3,33;2,51;695,15;481446;707,57;481258,82;375,39;280757,68;546,43;315326,42
320010213000003;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010213;FAZENDA GUANDU;32001021300;FAZENDA GUANDU;3200102000;AFONSO CLÁUDIO (todos os setores);8;0;158;493;3,12;1,61;490,29;236341,69;526,98;234681,76;301,8;156166,98;434,6;167205,67
320010215000001;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010215;IBICABA;32001021500;IBICABA;3200102000;AFONSO CLÁUDIO (todos os setores);1;0;28;74;2,64;1,5;217,86;116017,46;610;82266,67;156,25;76642,86;555,56;49143,79
