Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134
270050805000015;1;126;126;33;12;36;15;8;1;1;0;16;0;1;0;1;2;0;0;0;0;0;5;0;0;0;0;0;0;3;0;0;0;1;1;1;1;3;0;2;5;7;5;3;4;3;3;3;3;3;2;7;1;4;3;1;2;4;1;1;3;4;2;4;1;1;2;1;1;0;2;1;1;3;2;1;0;1;1;0;0;2;1;1;1;1;1;0;0;0;3;0;2;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
270060705000001;1;419;419;137;27;104;83;14;7;1;0;25;0;5;1;11;2;2;0;0;0;0;12;0;1;1;2;4;2;1;0;0;1;0;0;7;9;9;11;6;6;4;9;6;9;9;5;10;14;15;18;15;15;7;13;9;10;6;8;7;10;9;10;5;2;2;3;5;4;5;4;10;6;6;8;4;4;8;5;3;6;4;3;5;3;4;0;2;2;0;1;4;3;2;0;2;1;2;1;2;0;1;2;1;0;0;0;2;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
270060705000002;1;207;207;85;9;45;37;0;6;0;0;13;0;1;0;8;3;0;0;0;0;0;9;0;0;0;0;2;0;2;2;2;0;1;0;3;8;2;5;3;6;5;3;3;3;2;3;2;2;1;3;5;8;2;5;4;0;7;7;3;3;3;1;6;6;4;3;4;5;7;2;1;7;3;2;1;3;3;3;2;1;4;1;3;2;0;1;2;1;1;0;1;2;1;1;1;3;1;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
270060705000003;1;189;184;93;22;40;17;5;1;0;0;6;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;4;3;4;3;3;3;4;5;1;6;5;6;2;2;4;1;2;2;1;3;3;3;1;2;5;2;5;2;4;4;3;9;5;3;5;5;10;1;1;6;2;2;2;5;1;2;4;4;0;1;2;1;0;0;1;1;1;0;1;2;1;3;0;0;0;1;0;2;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
270060705000004;1;96;93;25;17;29;9;0;0;2;0;0;0;6;0;5;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;3;1;0;1;3;4;0;0;1;3;0;4;0;2;3;1;2;1;0;1;3;3;1;2;5;1;5;2;1;1;2;1;2;1;0;3;2;1;1;1;0;1;1;2;3;1;4;0;1;3;0;0;1;0;0;3;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
270060705000005;8;19;19;13;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
270060705000006;8;321;314;76;42;113;26;11;4;7;1;13;1;10;0;13;0;0;0;0;0;0;11;0;2;1;0;1;0;0;1;0;2;1;3;3;11;6;6;9;9;7;5;3;6;8;11;11;14;12;11;6;8;8;7;9;6;9;4;4;5;1;5;3;2;3;1;5;5;7;4;9;6;2;4;2;2;2;1;5;6;5;2;0;2;2;1;1;1;1;1;2;0;1;5;1;1;0;2;2;0;1;0;1;0;1;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
270060705000007;1;688;676;155;106;153;122;8;14;5;2;72;0;11;0;29;1;1;0;1;1;0;11;0;1;0;1;1;0;2;0;2;0;1;3;16;11;14;12;8;12;14;13;12;14;14;11;18;12;14;17;12;19;11;17;10;24;17;14;16;16;13;11;13;9;11;15;8;12;9;10;6;8;14;9;11;8;13;9;9;7;8;8;9;7;5;6;7;1;1;7;3;3;9;3;0;0;3;1;3;2;1;3;2;1;2;2;0;3;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
270060705000008;1;501;479;81;136;13;183;6;3;13;1;29;0;20;0;11;4;1;0;0;0;0;7;0;0;0;0;0;0;1;0;1;1;3;1;12;12;7;13;11;4;6;5;14;12;15;11;12;8;13;14;13;11;8;10;10;4;11;9;11;12;9;8;4;8;10;6;13;8;10;7;10;9;9;9;1;3;2;5;3;9;6;2;7;3;3;6;3;2;5;6;2;5;3;2;2;0;3;2;3;4;2;1;1;2;1;1;1;1;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
270060705000009;1;173;173;17;42;31;35;1;1;7;1;14;2;9;0;13;0;0;0;0;0;0;4;0;0;0;0;0;1;1;0;0;1;0;1;2;1;6;5;6;6;2;5;3;7;1;4;3;5;4;1;1;5;3;5;3;5;4;3;2;6;3;4;1;2;6;7;4;2;1;2;3;0;2;0;3;1;2;1;2;0;6;0;1;3;1;1;1;0;2;1;1;0;0;1;1;0;0;1;0;1;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
