Cod_setor;Situacao_setor;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;V135;V136;V137;V138;V139;V140;V141;V142;V143;V144;V145;V146;V147;V148;V149;V150;V151;V152;V153;V154;V155;V156;V157;V158;V159;V160;V161;V162;V163;V164;V165;V166;V167;V168;V169;V170;V171;V172;V173;V174;V175;V176;V177;V178;V179;V180;V181;V182;V183;V184;V185;V186;V187;V188;V189;V190;V191;V192;V193;V194;V195;V196;V197;V198;V199;V200;V201;V202;V203;V204;V205;V206;V207;V208;V209;V210;V211;V212;V213;V214;V215;V216;V217;V218;V219;V220;V221;V222;V223;V224;V225;V226;V227;V228;V229;V230;V231;V232;V233;V234;V235;V236;V237;V238;V239;V240;V241;V242;V243;V244;V245;V246;V247;V248;V249;V250;V251;V252;V253;V254;V255
120040105000113;1;672;0;1;19;13;22;18;19;16;20;11;19;12;10;20;11;14;17;9;16;18;16;20;18;10;20;21;10;14;15;13;12;16;19;14;7;12;10;10;8;10;8;10;3;1;10;10;11;5;7;5;4;7;3;4;4;1;1;3;2;1;0;1;2;3;0;1;0;0;0;0;0;0;1;0;0;4;248;76;217;2;30;16;24;0;704;1;7;10;6;15;22;13;19;22;12;19;20;11;12;21;19;20;12;9;18;24;20;11;28;18;17;20;18;23;13;17;11;10;9;11;19;14;4;7;10;12;7;5;7;11;4;4;4;6;4;3;4;4;5;6;3;2;2;0;2;0;3;3;0;1;0;0;2;0;2;1;0;0;0;0;5;172;197;221;5;18;16;31;0
120040105000114;1;316;2;3;7;11;7;4;9;4;1;6;5;6;8;5;5;11;6;8;6;5;4;6;4;11;4;11;8;8;15;11;13;6;6;8;4;4;10;8;3;5;4;4;4;6;3;1;3;2;2;2;2;1;0;2;0;0;3;1;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0;2;0;2;142;31;84;0;10;3;10;4;379;3;4;5;7;9;8;6;11;9;11;5;3;4;7;7;4;5;4;8;6;6;11;9;14;6;12;18;12;9;10;7;11;7;5;12;9;5;12;5;5;5;2;5;8;4;3;7;4;4;0;0;4;0;1;1;1;1;1;1;4;4;1;0;0;0;2;0;0;0;0;1;0;0;1;1;2;101;123;92;5;9;3;14;2
120040105000115;1;351;2;7;4;7;9;10;7;10;7;7;7;8;10;7;12;9;5;10;8;9;14;12;12;14;13;6;12;10;3;4;6;9;7;4;6;9;0;2;5;3;5;3;6;1;4;8;3;1;1;1;2;1;1;1;0;1;1;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;1;87;101;108;1;11;4;8;0;338;2;3;6;7;7;9;7;9;6;5;6;8;5;6;10;9;6;7;8;11;17;16;10;8;11;5;9;6;5;12;6;8;10;4;8;4;1;4;8;5;4;7;2;3;4;0;2;0;3;0;0;4;1;1;0;0;1;2;1;0;1;0;3;0;1;1;0;1;0;0;0;0;1;0;0;1;152;61;73;2;6;0;18;0
120040105000116;1;352;3;11;13;7;7;9;7;10;10;5;7;5;12;7;5;7;3;7;8;6;8;9;7;12;9;6;7;7;9;7;8;6;6;4;5;7;9;2;9;5;4;4;3;1;2;7;3;3;1;4;2;1;3;4;2;3;2;0;1;1;1;2;0;0;1;2;0;2;0;0;1;0;1;0;0;0;82;90;91;7;5;18;12;0;418;8;9;4;8;7;7;9;21;9;11;15;5;8;14;13;13;11;9;9;8;9;11;9;9;10;11;7;9;10;9;9;5;5;4;7;11;7;7;7;6;2;1;3;3;3;4;3;2;2;6;1;3;4;3;2;3;1;1;0;4;2;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1;148;57;90;19;15;28;15;0
120040105000117;2;318;1;6;6;7;4;17;11;12;8;6;8;8;9;7;5;10;18;6;8;6;7;6;12;7;10;7;7;1;8;4;5;2;3;3;3;7;8;4;3;5;2;3;4;5;3;1;0;4;4;0;2;1;0;0;1;0;1;0;1;2;2;2;0;0;0;0;1;0;0;0;1;2;0;0;0;1;125;30;108;2;8;12;6;3;332;3;5;11;13;12;11;9;11;11;11;6;6;7;9;7;11;11;8;7;10;8;13;8;5;11;6;4;13;5;6;2;4;7;2;7;3;4;1;4;3;4;7;1;2;2;1;0;3;2;2;1;2;0;0;2;0;0;0;3;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;1;71;98;97;3;4;7;7;1
120040105000118;1;497;1;6;10;17;10;16;8;18;19;15;20;19;24;16;14;14;9;13;11;8;10;10;11;12;17;14;14;14;6;13;5;9;3;5;4;4;4;4;4;2;4;2;2;3;4;4;2;3;3;3;3;5;3;0;2;3;2;0;1;1;2;2;2;2;0;0;0;0;0;1;1;0;0;0;1;3;133;94;175;7;11;15;16;2;478;0;5;17;11;19;19;13;21;19;14;19;14;13;8;10;8;11;14;11;12;14;19;13;12;11;14;13;8;8;9;7;9;6;6;6;2;11;2;3;4;3;3;2;2;4;5;1;3;5;3;2;1;0;2;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;145;85;138;11;8;18;18;3
120040105000119;1;528;2;10;9;10;18;28;25;17;17;16;8;16;19;14;13;15;12;17;10;6;8;17;22;7;12;10;11;8;13;11;9;2;6;8;8;8;4;7;5;9;5;4;5;2;4;3;2;2;3;3;1;1;5;2;5;2;0;3;2;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;2;1;115;136;189;3;14;8;9;0;509;2;5;12;18;16;19;15;19;22;20;17;12;5;15;10;12;12;10;12;11;12;6;13;18;11;27;14;13;10;12;8;5;6;9;8;7;7;6;4;2;6;7;5;1;1;0;0;2;1;1;1;3;1;1;1;1;3;2;1;2;1;0;0;0;0;2;0;2;1;0;0;0;0;0;0;1;200;89;126;2;12;6;17;1
120040105000120;1;715;10;20;24;26;23;21;21;22;30;18;15;11;12;18;15;18;11;16;12;24;28;13;18;15;16;21;15;18;15;11;11;9;16;13;5;9;11;8;5;6;6;9;5;6;4;5;1;1;3;4;3;3;6;1;1;1;3;3;1;0;4;1;1;3;1;2;0;1;2;0;0;0;0;0;0;4;244;128;187;2;17;6;26;2;671;9;21;22;15;19;23;18;20;18;16;21;17;21;19;16;16;20;16;12;28;19;16;18;28;14;17;20;16;13;7;9;15;6;8;8;7;4;8;3;7;4;4;4;5;1;3;4;5;5;3;0;2;3;2;2;1;2;1;0;0;2;1;0;0;0;0;0;2;1;0;1;0;0;1;0;2;215;170;159;6;13;7;14;1
120040105000121;1;512;18;15;8;13;10;12;20;18;11;15;17;16;13;13;18;15;10;9;10;12;11;18;11;10;11;17;10;10;8;7;8;8;6;9;6;12;6;1;4;7;5;4;7;5;2;2;5;2;0;1;3;1;2;1;1;0;2;0;2;0;2;0;1;1;0;0;0;1;1;3;1;0;2;0;0;2;178;43;158;3;11;20;26;4;561;9;16;12;12;11;16;18;18;21;19;12;14;15;17;21;17;18;13;16;15;13;13;13;8;17;17;9;10;17;11;12;7;6;7;4;12;8;7;8;2;7;3;3;1;2;2;2;1;3;3;5;3;2;1;1;2;1;2;0;2;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;122;161;168;5;11;12;18;1
120040105000122;1;417;2;9;10;9;11;15;12;12;6;12;10;16;16;9;12;11;12;7;12;12;10;13;14;10;8;9;6;6;5;11;4;5;5;5;11;7;5;5;2;6;5;4;1;5;1;5;3;3;1;1;2;7;1;1;1;1;3;1;1;0;0;0;1;1;0;0;0;2;0;0;1;0;0;1;0;2;168;25;153;0;9;2;15;0;463;3;7;10;19;12;13;9;14;12;9;13;12;12;6;12;11;15;14;11;11;12;16;8;13;8;9;12;14;10;12;10;6;10;8;9;1;7;1;3;8;3;4;3;5;7;3;3;0;3;3;1;7;2;2;3;2;1;2;0;1;0;2;1;0;0;0;0;0;0;0;1;0;0;0;1;1;93;158;129;3;6;3;18;0
120040105000123;1;534;3;9;10;7;17;17;12;14;16;18;15;15;16;19;13;21;16;16;13;14;14;9;15;11;10;6;10;8;10;6;8;11;9;7;13;7;7;8;7;9;5;5;4;6;4;4;4;2;4;2;3;1;2;0;2;1;2;2;0;1;1;1;2;0;2;0;0;0;0;0;1;0;1;0;2;4;190;48;197;3;12;11;23;2;533;4;2;9;15;17;17;17;12;19;16;20;10;20;25;18;19;15;14;9;13;10;7;12;10;12;11;9;12;9;12;13;8;11;9;7;8;6;5;9;10;5;10;4;3;6;2;2;3;2;0;2;1;0;3;1;0;0;1;0;2;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;98;160;172;4;15;9;24;1
120040105000124;1;429;1;3;9;6;7;19;13;10;16;14;14;8;20;10;12;13;15;16;9;15;10;8;15;7;8;12;5;8;10;9;9;7;7;8;6;4;7;6;3;3;3;4;3;6;3;2;0;2;0;1;0;1;2;0;1;3;2;0;0;1;2;2;0;0;0;0;1;0;1;0;2;2;0;0;0;3;141;54;170;1;8;6;15;8;463;2;2;6;5;18;15;21;16;25;18;10;14;14;19;15;17;15;19;8;17;18;7;10;10;12;10;7;7;14;8;5;7;4;5;7;8;5;2;3;2;4;3;6;0;4;1;2;2;3;1;0;2;0;1;0;2;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;1;97;125;157;1;8;3;29;10
120040105000125;1;526;2;4;17;12;14;26;19;21;19;25;20;23;15;18;15;11;13;10;15;15;13;6;8;16;13;10;9;10;5;8;9;7;7;5;4;9;6;9;3;5;5;3;2;5;1;6;1;0;2;4;2;4;0;1;0;0;0;1;1;1;1;0;3;0;0;2;1;0;0;0;0;0;0;0;0;4;163;53;220;6;11;4;15;4;526;1;4;10;20;18;19;24;21;17;25;15;10;10;27;14;21;11;22;15;13;12;8;9;13;4;18;13;11;9;3;12;11;4;6;6;8;9;7;1;3;4;3;5;3;7;1;5;2;0;0;0;1;0;3;2;1;2;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;109;149;165;3;16;7;19;2
120040105000126;1;539;6;9;8;16;12;15;16;12;11;14;17;12;14;14;17;18;18;15;15;18;15;9;15;8;12;13;17;12;12;10;7;4;8;9;5;5;8;5;6;7;3;6;2;2;1;8;5;3;2;2;2;5;2;2;4;7;3;2;2;2;3;1;0;0;0;1;1;1;0;0;1;0;0;1;1;0;166;58;204;2;26;7;23;1;524;4;8;15;5;11;13;17;8;14;10;11;7;9;26;13;13;15;9;17;17;16;10;18;18;8;16;10;11;10;9;5;7;13;8;3;10;8;4;3;2;10;4;6;4;6;4;8;4;3;2;9;3;4;3;3;2;1;1;5;1;2;1;0;0;1;2;0;1;1;0;0;0;0;0;0;2;123;148;152;5;17;7;28;0
120040105000127;1;304;2;3;7;6;12;6;9;7;14;8;6;8;9;10;4;11;3;3;7;17;7;3;3;10;8;8;12;2;4;5;4;9;5;5;4;6;6;10;5;6;5;0;3;3;0;3;0;0;0;0;2;0;2;1;0;0;2;0;1;1;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;3;112;38;100;4;4;9;7;0;318;3;9;2;8;8;14;9;9;7;6;7;7;8;9;11;5;5;7;12;10;7;9;6;8;6;7;10;8;4;8;7;5;6;5;6;11;4;4;3;3;3;2;4;3;1;1;1;1;2;2;2;1;1;1;0;1;1;0;0;1;0;0;0;1;1;1;0;0;0;0;0;1;0;1;0;2;76;98;90;3;5;5;10;0
