Cod_setor;Situacao_setor;V001;V002;V003
120020305000024;1;351;0;0
120020305000025;1;154;7;0
120020305000026;1;108;2;0
120020305000027;1;417;7;0
120020305000028;1;356;2;0
120020305000029;1;282;7;1
120020305000030;1;302;0;0
120020305000031;1;85;1;0
120020305000032;1;165;3;0
120020305000033;1;190;0;0
120020305000034;1;306;8;0
120020305000035;1;361;6;1
120020305000036;1;445;4;0
120020305000037;1;314;3;0
120020305000038;5;283;5;1
120020305000039;8;309;2;0
120020305000040;8;205;6;0
120020305000041;5;150;4;0
120020305000042;5;83;1;0
120020305000043;8;305;12;0
120020305000044;5;487;3;0
120020305000045;5;238;2;0
120020305000046;5;150;1;1
120020305000047;8;579;15;2
120020305000048;8;268;5;0
120020305000049;8;52;1;0
120020305000050;8;208;24;0
120020305000051;8;245;11;1
120020305000052;8;14;0;1
120020305000053;8;266;3;0
120020305000054;8;125;2;1
120020305000055;8;72;6;0
120020305000056;8;200;6;0
120020305000057;8;137;2;4
120020305000058;8;8;0;0
120020305000059;8;361;14;0
120020305000060;8;16;2;0
120020305000061;8;304;3;0
120020305000062;8;172;4;0
120020305000063;1;156;0;0
120020305000064;1;201;0;0
120020305000065;1;188;6;0
120020305000066;1;323;1;0
120020305000067;1;353;2;0
120020305000068;1;639;3;0
120020305000069;1;281;7;0
120020305000070;8;200;2;0
120020305000071;8;202;2;1
120020305000072;8;171;1;0
120020305000073;8;301;11;0
120020305000074;8;266;5;0
120020305000076;8;47;0;0
120020305000077;8;62;2;0
120020305000079;8;404;20;0
120020305000080;8;132;16;1
120020305000081;1;151;12;0
120020305000082;1;84;0;0
120020305000083;1;143;1;1
120020305000084;1;145;1;0
120020305000085;1;235;1;0
120020305000086;1;192;2;0
120020305000087;1;186;0;0
120020305000088;1;179;5;0
120025205000001;1;244;2;0
120025205000002;1;282;7;0
120025205000003;1;347;7;1
120025205000004;1;138;1;0
120025205000005;1;333;0;0
120025205000006;1;339;5;0
120025205000007;1;170;0;0
120025205000008;8;40;0;0
120025205000009;8;118;3;0
120025205000010;8;165;12;0
120025205000011;8;114;1;0
120025205000012;8;137;2;0
120025205000013;8;34;0;0
120025205000014;8;42;1;0
120025205000015;8;112;0;0
120025205000016;8;32;0;0
120025205000017;1;115;3;0
120025205000018;1;363;7;0
120025205000019;8;11;0;0
120025205000020;8;25;2;0
120025205000021;2;16;0;0
120025205000022;2;3;0;0
120025205000023;2;7;0;0
120025205000024;8;186;2;0
120030205000001;1;268;6;0
120030205000002;1;226;6;0
120030205000003;1;326;2;0
120030205000004;1;161;0;0
120030205000005;1;214;4;0
120030205000006;1;343;1;0
120030205000007;1;84;0;0
120030205000008;1;330;5;1
120030205000009;1;79;1;0
120030205000010;1;207;6;2
120030205000011;1;174;1;3
120030205000012;8;82;6;0
120030205000013;8;125;3;1
120030205000014;8;292;0;0
120030205000015;8;91;0;0
120030205000016;8;99;1;0
120030205000017;8;178;0;0
120030205000018;8;56;1;0
120030205000019;8;78;9;0
120030205000020;8;30;0;0
120030205000021;8;39;1;0
120030205000022;8;20;0;0
120030205000024;8;76;0;0
120030205000025;8;138;9;0
120030205000026;8;301;20;0
120030205000027;8;286;2;2
