Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132
120040105000196;1;771;771;748;0;23;157;533;68;0;13;0;771;0;0;0;771;771;0;0;0;0;0;0;768;424;266;70;8;3;771;771;0;0;0;0;0;0;771;771;0;0;771;0;0;354;354;346;0;8;76;242;30;0;6;0;354;0;0;0;354;354;0;0;0;0;0;0;353;196;122;30;5;1;354;354;0;0;0;0;0;0;354;354;0;0;354;0;0;417;417;402;0;15;81;291;38;0;7;0;417;0;0;0;417;417;0;0;0;0;0;0;415;228;144;40;3;2;417;417;0;0;0;0;0;0;417;417;0;0;417;0;0
120040105000197;1;1502;1502;1365;52;85;693;601;136;11;33;28;1427;53;0;22;1490;1105;235;27;110;0;13;12;1446;947;398;79;22;56;1489;1463;26;8;0;0;0;5;1500;1494;6;2;1320;89;85;717;717;658;22;37;345;271;63;5;19;14;675;31;0;11;709;521;110;16;56;0;6;8;684;443;200;32;9;33;712;700;12;2;0;0;0;3;716;713;3;1;624;44;45;785;785;707;30;48;348;330;73;6;14;14;752;22;0;11;781;584;125;11;54;0;7;4;762;504;198;47;13;23;777;763;14;6;0;0;0;2;784;781;3;1;696;45;40
120040105000198;1;1454;1454;1351;0;103;1232;5;169;0;35;13;1421;24;0;9;1437;1016;19;82;298;3;19;17;1098;945;139;14;0;356;1439;1439;0;0;0;0;0;15;1454;1450;4;0;1133;108;209;703;703;653;0;50;594;1;83;0;18;7;685;12;0;6;693;495;9;40;140;1;8;10;533;458;66;9;0;170;693;693;0;0;0;0;0;10;703;700;3;0;551;49;100;751;751;698;0;53;638;4;86;0;17;6;736;12;0;3;744;521;10;42;158;2;11;7;565;487;73;5;0;186;746;746;0;0;0;0;0;5;751;750;1;0;582;59;109
120040105000199;1;1037;1037;1003;0;34;374;538;112;0;13;0;988;49;0;0;1037;676;185;97;79;0;0;0;1026;490;396;114;26;11;1031;1025;6;6;0;0;0;0;1037;1037;0;0;942;32;63;497;497;483;0;14;172;263;54;0;8;0;473;24;0;0;497;331;86;41;39;0;0;0;492;225;195;59;13;5;495;492;3;2;0;0;0;0;497;497;0;0;453;12;32;540;540;520;0;20;202;275;58;0;5;0;515;25;0;0;540;345;99;56;40;0;0;0;534;265;201;55;13;6;536;533;3;4;0;0;0;0;540;540;0;0;489;20;31
120040105000200;1;751;751;725;1;25;162;527;52;0;10;0;726;20;0;5;751;647;80;8;7;0;9;0;743;648;74;11;10;8;745;738;7;0;0;2;0;4;751;751;0;0;726;13;12;324;324;312;0;12;76;221;22;0;5;0;312;9;0;3;324;275;38;4;3;0;4;0;320;275;33;7;5;4;321;318;3;0;0;1;0;2;324;324;0;0;314;5;5;427;427;413;1;13;86;306;30;0;5;0;414;11;0;2;427;372;42;4;4;0;5;0;423;373;41;4;5;4;424;420;4;0;0;1;0;2;427;427;0;0;412;8;7
120040105000201;1;1407;1406;1332;4;53;1125;30;180;0;71;0;1341;37;0;28;1339;469;172;342;322;0;34;67;1143;815;240;72;16;263;1376;1375;1;0;0;0;0;30;1406;1406;0;0;1122;196;88;712;711;674;2;26;577;17;82;0;35;0;677;18;0;16;679;231;89;168;170;0;21;32;568;397;128;37;6;143;695;694;1;0;0;0;0;16;711;711;0;0;562;101;48;695;695;658;2;27;548;13;98;0;36;0;664;19;0;12;660;238;83;174;152;0;13;35;575;418;112;35;10;120;681;681;0;0;0;0;0;14;695;695;0;0;560;95;40
120040105000202;1;773;773;707;0;66;555;23;119;5;71;0;714;55;0;4;773;613;152;3;4;0;1;0;746;505;205;34;2;27;768;766;2;0;0;0;0;5;773;773;0;0;665;89;19;377;377;347;0;30;261;11;61;3;41;0;347;29;0;1;377;301;71;2;2;0;1;0;360;244;100;16;0;17;376;375;1;0;0;0;0;1;377;377;0;0;326;46;5;396;396;360;0;36;294;12;58;2;30;0;367;26;0;3;396;312;81;1;2;0;0;0;386;261;105;18;2;10;392;391;1;0;0;0;0;4;396;396;0;0;339;43;14
120040105000203;1;1477;1477;1468;0;9;1227;4;164;0;82;0;1316;105;0;56;1452;170;27;707;518;0;30;25;1127;947;148;32;0;350;1471;1471;0;2;0;0;0;4;1474;1474;0;3;1305;70;99;709;709;705;0;4;581;2;85;0;41;0;632;46;0;31;696;85;12;339;246;0;14;13;537;450;71;16;0;172;707;707;0;1;0;0;0;1;706;706;0;3;620;37;49;768;768;763;0;5;646;2;79;0;41;0;684;59;0;25;756;85;15;368;272;0;16;12;590;497;77;16;0;178;764;764;0;1;0;0;0;3;768;768;0;0;685;33;50
120040105000204;1;992;992;967;0;25;753;147;79;0;13;0;630;146;0;216;920;55;40;705;87;0;33;72;678;593;73;12;0;314;826;826;0;0;0;8;0;158;985;985;0;7;473;53;459;480;480;465;0;15;355;75;45;0;5;0;305;68;0;107;444;24;18;348;41;0;13;36;325;285;32;8;0;155;398;398;0;0;0;4;0;78;476;476;0;4;224;24;228;512;512;502;0;10;398;72;34;0;8;0;325;78;0;109;476;31;22;357;46;0;20;36;353;308;41;4;0;159;428;428;0;0;0;4;0;80;509;509;0;3;249;29;231
120040105000205;1;1682;1670;1642;0;28;1081;333;197;0;53;6;1524;67;0;79;1631;432;389;261;546;0;3;39;1538;1143;331;55;9;132;1644;1492;152;1;0;16;0;9;1670;1663;7;0;1300;59;304;798;794;780;0;14;519;153;97;0;22;3;727;29;0;38;779;197;194;129;257;0;2;15;734;548;155;26;5;60;784;710;74;0;0;7;0;3;794;792;2;0;623;25;144;884;876;862;0;14;562;180;100;0;31;3;797;38;0;41;852;235;195;132;289;0;1;24;804;595;176;29;4;72;860;782;78;1;0;9;0;6;876;871;5;0;677;34;160
