Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;
110002305000047;1;246;3;5;6;5;3;4;2;5;10;4;7;9;6;6;7;4;6;6;8;5;5;6;3;6;6;7;4;3;3;5;5;3;5;0;5;1;5;6;6;3;2;3;3;5;2;1;2;4;2;3;2;1;2;3;1;0;2;0;1;1;0;0;0;4;1;0;1;0;1;0;0;0;1;0;0;0;77;59;73;0;7;3;5;0;
110002305000048;1;126;2;4;3;1;5;5;2;1;4;3;1;2;7;2;4;2;1;4;5;1;1;2;5;1;7;3;5;1;5;0;4;2;3;1;3;3;1;2;5;3;3;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;41;28;31;3;2;4;2;0;
110002305000049;1;440;3;7;7;8;8;7;8;6;5;13;12;15;9;5;14;12;8;10;6;6;8;13;7;14;4;9;8;6;10;6;13;6;7;13;5;8;8;5;4;13;8;7;9;8;15;4;8;5;6;3;4;3;3;3;2;1;1;1;0;3;0;1;0;3;1;0;1;1;0;0;0;0;0;1;1;1;147;98;121;5;6;5;15;5;
110002305000050;1;538;3;9;12;10;12;7;15;11;12;11;12;9;11;14;8;12;12;8;13;9;10;3;13;11;17;11;16;8;10;13;9;11;8;13;6;11;7;10;10;4;7;5;8;5;5;10;5;5;7;7;5;6;5;5;2;2;3;4;5;2;4;5;0;0;1;0;1;1;3;0;3;0;0;0;1;5;180;130;146;6;10;5;10;3;
110002305000051;1;504;3;7;9;12;16;13;11;10;2;13;10;11;5;8;7;10;11;11;5;10;6;12;12;10;13;7;6;20;13;13;10;10;16;11;10;6;14;6;10;9;9;7;9;8;3;4;5;5;3;3;5;6;0;6;3;6;2;1;1;1;0;4;2;2;1;0;1;1;0;2;0;1;2;0;0;3;164;125;138;5;3;7;11;1;
110002305000052;1;348;1;4;8;2;9;7;7;10;8;7;9;9;6;11;7;9;10;11;11;7;7;7;8;5;3;9;12;7;9;5;5;5;8;9;1;4;5;8;4;5;7;7;5;4;3;3;1;2;4;1;2;4;3;2;3;1;1;1;0;2;2;2;0;0;3;0;1;1;1;0;0;0;1;0;0;2;117;81;108;2;7;1;7;0;
110002305000053;1;941;2;10;13;16;18;14;16;20;19;18;17;28;20;25;14;27;19;21;21;24;19;20;12;16;17;17;15;13;17;11;24;12;13;20;18;21;20;26;15;10;19;15;12;17;10;15;16;13;12;13;5;6;4;9;8;1;6;3;5;8;5;3;6;4;3;2;3;1;3;1;0;4;0;3;1;7;310;229;267;7;22;10;29;2;
110002305000054;1;704;8;6;12;10;13;11;12;11;13;12;19;25;20;17;10;16;16;22;18;22;15;10;7;15;13;14;13;9;13;9;14;16;13;9;3;17;8;16;8;12;14;13;15;9;9;12;15;9;6;8;6;11;7;3;2;7;1;0;1;1;0;5;2;2;3;3;3;1;0;0;0;0;2;1;0;6;224;151;197;22;16;10;21;9;
110002305000055;1;1125;4;10;20;19;20;31;23;28;28;36;25;38;32;23;20;22;28;34;31;26;20;25;17;21;20;20;27;15;22;20;25;16;18;24;24;11;19;14;12;21;29;20;12;12;11;6;17;13;22;13;11;6;6;5;3;3;6;4;2;0;3;4;2;5;1;1;0;3;1;2;2;0;2;1;1;7;332;243;379;15;28;15;32;0;
110002305000056;1;1095;17;10;17;18;22;28;16;22;19;21;20;18;23;31;21;28;27;29;28;28;30;36;28;28;24;21;24;18;21;26;23;20;17;17;10;15;14;14;19;13;14;13;9;17;12;14;14;8;6;7;15;12;10;10;3;10;4;6;2;4;2;5;4;1;3;2;1;0;3;2;2;1;1;4;3;10;348;239;306;16;24;16;54;0;
110002305000057;1;474;0;8;8;8;9;5;14;7;7;7;11;18;9;4;12;11;14;11;11;8;14;14;12;10;14;8;5;13;5;6;6;7;6;7;5;9;9;11;7;9;19;9;3;10;6;12;4;7;7;7;4;2;2;0;2;4;1;1;2;1;2;1;1;1;1;1;0;1;0;1;1;0;0;1;0;1;150;97;140;8;16;5;21;2;
110002305000058;1;730;1;7;7;22;22;21;18;13;11;21;14;15;18;16;15;19;26;17;17;25;17;22;24;21;11;13;12;15;10;17;10;16;15;11;7;21;14;14;11;6;17;9;14;5;4;7;6;6;0;4;7;5;6;5;2;3;3;3;0;1;0;2;0;0;1;1;0;2;0;0;2;1;0;0;1;1;231;164;204;8;20;6;21;0;
