Cod_setor;Situacao_setor;V001;V002;V003
160030305000310;1;96;1;1
160030305000311;1;80;0;0
160030305000312;1;124;1;0
160030305000313;1;94;1;0
160030305000314;1;176;0;0
160030305000315;1;126;0;0
160030305000316;1;95;1;0
160030305000317;1;107;0;0
160030305000318;1;145;0;0
160030305000319;1;89;2;0
160030305000320;1;84;0;0
160030305000321;1;323;3;0
160030305000322;1;160;0;0
160030305000323;1;183;1;0
160030305000324;1;275;1;0
160030305000325;1;234;9;0
160030305000326;1;213;1;0
160030305000327;1;192;0;0
160030305000328;1;138;0;1
160030305000329;1;234;3;0
160030305000330;1;137;2;0
160030305000331;1;514;20;0
160030305000332;1;57;0;0
160030305000333;1;217;4;0
160030305000334;1;207;6;0
160030305000335;1;232;4;0
160030305000336;1;214;2;0
160030305000337;1;273;4;0
160030305000338;1;239;0;0
160030305000339;1;182;1;0
160030305000340;1;281;4;0
160030305000341;1;300;9;0
160030305000342;1;243;9;0
160030305000343;1;228;10;3
160030305000344;1;233;1;0
160030305000345;1;130;4;0
160030305000346;1;177;3;0
160030305000347;1;169;0;0
160030305000348;1;181;0;0
160030305000349;1;166;0;0
160030305000350;1;170;3;0
160030305000351;1;286;13;1
160030305000352;1;170;3;1
160030305000353;1;264;10;0
160030305000354;1;229;0;0
160030305000355;1;168;3;0
160030305000356;1;56;0;0
160030305000357;1;92;0;0
160030305000358;1;147;0;0
160030305000359;1;57;0;0
160030305000360;1;88;0;0
160030305000361;1;52;1;0
160030305000362;1;153;2;0
160030305000363;1;274;13;0
160030305000364;1;53;0;0
160030305000365;1;95;0;0
160030305000366;1;61;0;0
160030305000367;1;133;0;0
160030305000368;1;413;14;2
160030305000369;1;64;1;0
160030305000370;1;7;1;0
160030305000371;1;65;0;0
160030305000372;1;324;1;5
160030305000373;1;283;0;1
160030305000374;1;279;7;4
160030305000375;1;409;8;0
160030305000376;1;326;4;0
160030305000377;1;327;13;1
160030305000378;1;101;0;0
160030305000379;1;74;3;0
160030305000380;1;31;0;0
160030305000381;1;85;0;0
160030305000382;1;64;0;0
160030305000383;1;47;0;0
160030305000384;1;93;2;0
160030305000385;1;269;2;0
160030305000386;1;32;0;0
160030305000387;1;69;2;0
160030305000388;1;162;7;0
160030305000389;1;250;14;0
160030305000390;1;111;3;0
160030305000391;1;39;1;0
160030305000392;1;39;0;0
160030305000393;1;118;0;1
160030305000394;1;198;2;0
160030305000395;1;62;3;0
160030305000396;1;270;2;0
160030305000397;1;365;4;0
160030305000398;1;123;9;0
160030305000399;1;177;6;0
160030305000400;1;74;5;0
160030305000401;1;81;4;0
160030305000402;1;40;0;0
160030305000403;1;129;1;0
160030305000404;1;317;19;0
160030305000405;1;97;5;0
160030305000406;1;168;2;0
160030305000407;1;105;8;4
160030305000408;1;161;2;0
160030305000409;1;105;6;0
160030305000410;1;287;13;1
160030305000411;1;284;6;0
160030305000412;1;73;2;0
160030305000413;1;22;1;0
160030305000414;1;34;0;0
160030305000415;1;142;3;0
160030305000416;1;147;0;0
160030305000417;1;443;9;0
160030305000418;1;369;0;0
160030305000419;1;290;4;0
160030305000420;1;476;1;4
160030305000421;1;333;0;0
160030305000422;1;315;0;0
160030305000423;1;146;0;0
160030305000424;1;413;4;0
160030305000425;1;158;3;0
160030305000426;1;186;0;0
160030305000427;1;103;2;0
160030305000428;1;22;0;0
160030305000429;1;45;2;0
160030305000430;1;58;0;0
160030305000431;1;36;0;0
160030305000432;1;102;0;0
160030305000433;1;75;1;0
160030305000434;8;245;7;0
160030305000435;8;284;11;0
160030310000001;1;467;2;0
160030310000002;5;114;1;1
160030310000004;8;761;0;0
160030310000005;8;355;2;0
160030310000006;8;300;1;0
160030310000007;5;42;1;0
160030310000008;5;53;0;0
160030310000009;5;51;0;0
160030310000010;5;211;1;0
160030310000011;5;153;0;0
160030311000001;1;66;2;0
160030311000002;8;146;7;0
160030312000001;1;312;2;0
160030312000002;1;268;2;1
160030312000003;1;265;4;0
160030312000004;1;604;11;1
160030312000005;1;173;0;0
160030312000006;1;59;0;0
160030312000007;1;613;43;0
160030324000001;1;188;1;0
160030324000002;5;163;5;0
160030324000003;5;70;3;1
160030324000004;5;113;3;0
160030324000005;5;79;1;0
160030324000006;8;130;2;0
160030324000007;8;314;6;1
160030324000008;5;147;4;0
160030324000009;5;75;1;0
160040205000001;1;491;0;0
160040205000002;1;490;1;0
160040205000003;1;310;0;0
160040205000004;1;260;0;0
160040205000005;1;142;3;0
160040205000006;8;109;4;0
160040205000007;8;300;6;4
160040205000008;8;20;0;0
160040205000010;1;180;1;0
160040208000001;1;165;0;0
160040208000002;8;150;4;0
160040215000001;1;224;0;0
160040215000002;8;358;4;0
160040215000003;8;417;18;0
160040215000004;8;434;3;0
160040215000005;8;711;8;3
160040215000008;5;303;7;0
160050105000001;1;225;1;2
160050105000002;1;232;3;0
160050105000003;1;229;1;0
160050105000004;1;203;0;0
160050105000005;1;270;15;3
160050105000006;1;174;2;1
160050105000007;5;14;0;0
160050105000008;8;25;0;0
160050105000009;8;46;0;0
160050105000010;8;85;4;0
160050105000011;5;21;0;0
160050105000012;5;22;0;0
160050105000013;5;26;0;0
160050105000014;5;21;1;0
160050105000015;5;25;0;0
160050105000016;5;156;0;4
160050105000017;5;96;0;0
160050105000018;5;234;1;0
160050105000019;8;273;13;0
160050105000020;5;153;0;0
160050105000021;1;261;4;0
160050105000022;1;273;3;0
160050105000023;1;415;8;0
160050105000024;1;205;9;2
160050105000025;1;223;5;1
160050105000026;1;244;3;1
160050105000027;1;203;2;0
160050110000001;1;159;1;0
160050110000002;5;39;1;0
160050110000003;8;3;0;0
160050110000004;8;40;6;0
160050115000001;1;77;0;0
160050115000002;5;414;5;0
160050115000003;5;284;0;0
160050115000004;5;19;0;0
160050115000005;5;16;1;0
160050115000006;8;58;0;0
160050115000007;8;2;0;0
160050115000008;8;37;0;0
160053505000001;1;276;2;0
160053505000002;1;381;5;0
160053505000003;1;550;14;2
160053505000004;1;322;3;0
160053505000005;1;262;3;0
160053505000006;1;295;2;0
160053505000007;1;216;1;0
160053505000008;5;161;4;0
160053505000009;8;96;3;0
160053505000010;8;280;10;0
160053505000011;8;225;4;0
160053505000012;8;183;0;0
160053505000013;8;234;7;0
160053505000014;1;343;7;1
160053505000015;1;243;9;1
160053505000016;8;174;5;0
160053505000017;8;189;1;0
160055005000001;1;219;1;0
160055005000002;8;138;0;0
160055005000003;8;223;4;1
160055005000005;5;111;0;0
160055005000006;5;164;0;0
160055005000007;1;378;6;1
160060005000001;1;159;0;0
160060005000002;1;90;0;0
160060005000003;1;132;0;0
160060005000004;1;160;2;0
160060005000005;1;92;3;0
160060005000006;1;142;4;0
160060005000007;1;332;9;0
160060005000008;1;153;5;0
160060005000009;1;213;0;0
160060005000010;1;155;1;0
160060005000011;1;139;1;0
160060005000012;1;265;7;0
160060005000013;1;231;1;0
160060005000014;1;49;0;0
160060005000015;1;83;2;0
160060005000016;1;211;0;0
160060005000017;1;170;1;0
160060005000018;1;173;3;0
160060005000019;2;11;"X";"X"
160060005000020;1;202;1;0
160060005000021;1;422;10;0
160060005000022;1;296;1;0
160060005000023;1;264;0;0
160060005000024;1;534;3;0
160060005000025;1;238;2;1
160060005000026;1;300;3;0
160060005000027;1;81;1;0
160060005000028;1;169;1;0
160060005000029;1;147;3;0
160060005000030;1;124;0;0
160060005000031;1;73;0;0
160060005000032;2;7;0;0
160060005000033;1;209;0;0
160060005000034;1;218;2;0
160060005000035;1;150;2;0
160060005000036;1;329;0;0
160060005000037;1;151;2;0
160060005000038;1;255;3;0
160060005000039;1;192;3;2
160060005000040;2;5;"X";"X"
160060005000041;1;248;4;0
160060005000042;1;328;11;5
160060005000043;1;104;0;0
160060005000044;1;170;0;0
160060005000045;1;381;13;9
160060005000046;1;417;9;3
160060005000047;1;145;16;0
160060005000048;1;73;4;2
160060005000049;1;196;0;0
160060005000050;1;116;0;0
160060005000051;1;17;0;0
160060005000052;1;159;0;0
160060005000053;1;179;1;1
160060005000054;1;443;6;0
160060005000055;1;122;8;0
160060005000056;1;324;8;0
160060005000057;1;336;1;0
160060005000058;1;295;6;0
160060005000059;1;148;5;0
160060005000060;1;235;3;0
160060005000061;1;120;2;0
160060005000062;1;165;1;0
160060005000063;1;334;1;0
160060005000064;1;264;2;0
160060005000065;1;110;1;0
160060005000066;1;264;0;2
160060005000067;1;337;1;3
160060005000068;1;505;12;0
160060005000069;2;5;0;0
160060005000070;1;52;0;0
160060005000071;1;246;0;0
160060005000072;1;104;1;0
160060005000073;1;231;0;0
160060005000074;1;242;6;0
160060005000075;1;209;6;0
160060005000076;1;260;2;0
160060005000077;2;210;0;0
160060005000079;1;181;1;2
160060005000080;1;184;0;0
160060005000081;1;86;0;1
160060005000082;1;180;0;0
160060005000083;1;204;4;0
160060005000084;1;288;0;0
160060005000085;1;221;1;0
160060005000086;1;100;1;0
160060005000087;1;264;1;0
160060005000088;1;73;1;0
160060005000089;1;64;1;1
160060005000090;1;61;0;0
160060005000091;1;101;0;3
160060005000092;1;117;1;0
160060005000093;1;319;3;0
160060005000094;1;339;9;1
160060005000095;1;78;1;0
160060005000096;1;252;0;0
160060005000097;1;103;1;0
160060005000098;1;117;"X";"X"
160060005000099;1;138;0;0
160060005000100;1;111;3;0
160060005000101;1;47;"X";"X"
160060005000102;1;51;1;0
160060005000103;1;157;0;0
160060005000104;1;244;10;4
160060005000105;1;119;1;2
160060005000106;1;246;0;0
160060005000107;1;367;3;0
160060005000108;1;270;0;0
160060005000109;1;246;0;0
160060005000110;1;358;9;1
160060005000111;1;398;8;0
160060005000112;1;307;1;0
160060005000113;1;207;4;0
160060007000001;1;202;6;0
160060007000002;8;101;0;0
160060010000001;1;59;5;1
160060010000002;8;104;2;4
160060015000001;1;340;10;1
160060015000002;8;158;7;0
160060015000003;1;268;2;0
160060020000001;1;16;0;0
160060020000002;8;105;5;0
160060023000001;1;34;0;0
160060023000002;8;145;1;1
160070905000001;1;288;2;0
160070905000002;1;581;2;1
160070905000003;1;291;1;0
160070905000004;1;513;4;2
160070905000005;5;126;3;0
160070905000006;5;92;0;0
160070905000007;5;143;0;0
160070905000008;8;361;13;0
160070905000009;8;11;0;0
160070905000010;8;179;9;0
160070905000011;8;197;8;1
160070905000012;8;380;7;0
160070905000013;5;121;3;2
160070905000014;1;292;3;0
160070905000015;8;115;5;0
160080805000001;1;142;0;1
160080805000002;1;224;3;0
160080805000003;1;242;2;0
160080805000004;1;260;2;2
160080805000005;1;184;8;0
160080805000006;5;145;0;0
160080805000007;8;227;8;0
160080805000008;8;265;2;0
160080805000009;1;288;3;1
160080805000010;1;310;5;0
160080805000011;1;376;1;0
160080805000012;1;193;0;0
160080805000013;1;445;0;0
