Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;
160060005000055;1;13;56;20;2;2;0;0;0;0;12;2456;27744;14350;2300;3600;0;0;0;0;105;93;50450;1;33;14;1;1;0;0;0;0;9;150;16715;9730;1200;2000;0;0;0;0;59;50;29795;12;23;6;1;1;0;0;0;0;3;2306;11029;4620;1100;1600;0;0;0;0;46;43;20655;13;56;20;2;2;0;0;0;0;12;2456;27744;14350;2300;3600;0;0;0;0;105;93;50450;1;33;14;1;1;0;0;0;0;9;150;16715;9730;1200;2000;0;0;0;0;59;50;29795;12;23;6;1;1;0;0;0;0;3;2306;11029;4620;1100;1600;0;0;0;0;46;43;20655;
160060005000056;1;22;124;91;31;24;20;0;1;2;34;3107;58844;70082;39522;46250;68179;0;10000;70000;349;315;365984;2;64;63;22;17;14;0;0;1;10;400;31250;49161;28060;33310;48200;0;0;30000;193;183;220381;20;60;28;9;7;6;0;1;1;24;2707;27594;20921;11462;12940;19979;0;10000;40000;156;132;145603;22;124;91;31;24;20;0;1;2;34;3107;58844;70082;39522;46250;68179;0;10000;70000;349;315;365984;2;64;63;22;17;14;0;0;1;10;400;31250;49161;28060;33310;48200;0;0;30000;193;183;220381;20;60;28;9;7;6;0;1;1;24;2707;27594;20921;11462;12940;19979;0;10000;40000;156;132;145603;
160060005000057;1;8;122;68;34;35;12;1;1;2;100;1525;58855;53808;45832;72385;43400;6000;10000;32000;383;283;323805;2;40;38;21;19;7;0;0;2;12;355;19940;31092;27692;38310;23900;0;0;32000;141;129;173289;6;82;30;13;16;5;1;1;0;88;1170;38915;22716;18140;34075;19500;6000;10000;0;242;154;150516;8;122;68;34;35;12;1;1;2;100;1525;58855;53808;45832;72385;43400;6000;10000;32000;383;283;323805;2;40;38;21;19;7;0;0;2;12;355;19940;31092;27692;38310;23900;0;0;32000;141;129;173289;6;82;30;13;16;5;1;1;0;88;1170;38915;22716;18140;34075;19500;6000;10000;0;242;154;150516;
160060005000058;1;34;98;62;29;20;9;3;0;0;24;6127;46510;47269;38227;38704;31070;19800;0;0;279;255;227707;12;50;47;22;15;6;3;0;0;5;2515;24010;36086;29320;27910;19070;19800;0;0;160;155;158711;22;48;15;7;5;3;0;0;0;19;3612;22500;11183;8907;10794;12000;0;0;0;119;100;68996;33;97;62;29;20;9;3;0;0;24;5927;46000;47269;38227;38704;31070;19800;0;0;277;253;226997;11;49;47;22;15;6;3;0;0;5;2315;23500;36086;29320;27910;19070;19800;0;0;158;153;158001;22;48;15;7;5;3;0;0;0;19;3612;22500;11183;8907;10794;12000;0;0;0;119;100;68996;
160060005000059;1;5;42;31;11;18;16;1;0;0;62;910;19537;24277;15450;39890;51500;6000;0;0;186;124;157564;2;20;15;6;11;4;1;0;0;10;470;9360;12074;8300;24290;12700;6000;0;0;69;59;73194;3;22;16;5;7;12;0;0;0;52;440;10177;12203;7150;15600;38800;0;0;0;117;65;84370;5;42;31;11;18;16;1;0;0;62;910;19537;24277;15450;39890;51500;6000;0;0;186;124;157564;2;20;15;6;11;4;1;0;0;10;470;9360;12074;8300;24290;12700;6000;0;0;69;59;73194;3;22;16;5;7;12;0;0;0;52;440;10177;12203;7150;15600;38800;0;0;0;117;65;84370;
160060005000060;1;9;66;70;28;38;20;5;3;1;25;1527;31895;55182;36542;78798;72908;30700;27000;13000;265;240;347552;4;34;44;16;23;9;5;2;1;4;850;16240;34769;20736;49088;32948;30700;19000;13000;142;138;217331;5;32;26;12;15;11;0;1;0;21;677;15655;20413;15806;29710;39960;0;8000;0;123;102;130221;9;66;70;28;38;20;5;3;1;25;1527;31895;55182;36542;78798;72908;30700;27000;13000;265;240;347552;4;34;44;16;23;9;5;2;1;4;850;16240;34769;20736;49088;32948;30700;19000;13000;142;138;217331;5;32;26;12;15;11;0;1;0;21;677;15655;20413;15806;29710;39960;0;8000;0;123;102;130221;
160060005000061;1;6;29;37;15;15;9;1;0;0;31;1170;13956;29256;19260;31560;35500;6500;0;0;143;112;137202;4;17;27;13;9;6;0;0;0;7;775;8420;21272;16560;18400;24500;0;0;0;83;76;89927;2;12;10;2;6;3;1;0;0;24;395;5536;7984;2700;13160;11000;6500;0;0;60;36;47275;6;29;37;15;15;9;1;0;0;31;1170;13956;29256;19260;31560;35500;6500;0;0;143;112;137202;4;17;27;13;9;6;0;0;0;7;775;8420;21272;16560;18400;24500;0;0;0;83;76;89927;2;12;10;2;6;3;1;0;0;24;395;5536;7984;2700;13160;11000;6500;0;0;60;36;47275;
160060005000062;1;6;49;57;22;17;20;2;2;4;15;1101;22797;45902;28249;32576;72600;13000;17000;99000;194;179;332225;1;25;40;18;11;11;2;2;3;4;250;11570;32235;23208;21596;40300;13000;17000;79000;117;113;238159;5;24;17;4;6;9;0;0;1;11;851;11227;13667;5041;10980;32300;0;0;20000;77;66;94066;6;49;57;22;17;20;2;2;4;15;1101;22797;45902;28249;32576;72600;13000;17000;99000;194;179;332225;1;25;40;18;11;11;2;2;3;4;250;11570;32235;23208;21596;40300;13000;17000;79000;117;113;238159;5;24;17;4;6;9;0;0;1;11;851;11227;13667;5041;10980;32300;0;0;20000;77;66;94066;
160060005000063;1;7;64;82;39;37;30;3;0;0;49;1670;29962;66876;51881;76050;105247;18500;0;0;311;262;350186;0;38;68;32;26;22;3;0;0;16;0;18170;55106;42951;53250;77550;18500;0;0;205;189;265527;7;26;14;7;11;8;0;0;0;33;1670;11792;11770;8930;22800;27697;0;0;0;106;73;84659;7;64;82;39;37;30;3;0;0;49;1670;29962;66876;51881;76050;105247;18500;0;0;311;262;350186;0;38;68;32;26;22;3;0;0;16;0;18170;55106;42951;53250;77550;18500;0;0;205;189;265527;7;26;14;7;11;8;0;0;0;33;1670;11792;11770;8930;22800;27697;0;0;0;106;73;84659;
160060005000064;1;9;63;71;25;31;23;2;0;2;60;1812;30011;55909;33850;66858;90897;13117;0;35500;286;226;327954;4;33;53;18;23;15;2;0;2;25;900;15926;42604;24450;49500;58197;13117;0;35500;175;150;240194;5;30;18;7;8;8;0;0;0;35;912;14085;13305;9400;17358;32700;0;0;0;111;76;87760;9;63;71;25;31;23;2;0;2;60;1812;30011;55909;33850;66858;90897;13117;0;35500;286;226;327954;4;33;53;18;23;15;2;0;2;25;900;15926;42604;24450;49500;58197;13117;0;35500;175;150;240194;5;30;18;7;8;8;0;0;0;35;912;14085;13305;9400;17358;32700;0;0;0;111;76;87760;
160060005000065;1;9;45;29;8;14;13;1;0;1;13;1604;20687;23192;10440;31092;47147;6000;0;10500;133;120;150662;3;22;23;6;10;9;1;0;1;4;520;10650;18887;8110;21867;31197;6000;0;10500;79;75;107731;6;23;6;2;4;4;0;0;0;9;1084;10037;4305;2330;9225;15950;0;0;0;54;45;42931;9;45;29;8;14;13;1;0;1;13;1604;20687;23192;10440;31092;47147;6000;0;10500;133;120;150662;3;22;23;6;10;9;1;0;1;4;520;10650;18887;8110;21867;31197;6000;0;10500;79;75;107731;6;23;6;2;4;4;0;0;0;9;1084;10037;4305;2330;9225;15950;0;0;0;54;45;42931;
160060005000066;1;19;71;58;24;30;13;0;0;0;50;2850;32815;42613;31480;62400;45250;0;0;0;265;215;217408;3;32;31;14;15;5;0;0;0;6;510;15090;23369;18580;32200;18250;0;0;0;106;100;107999;16;39;27;10;15;8;0;0;0;44;2340;17725;19244;12900;30200;27000;0;0;0;159;115;109409;19;71;58;24;30;13;0;0;0;50;2850;32815;42613;31480;62400;45250;0;0;0;265;215;217408;3;32;31;14;15;5;0;0;0;6;510;15090;23369;18580;32200;18250;0;0;0;106;100;107999;16;39;27;10;15;8;0;0;0;44;2340;17725;19244;12900;30200;27000;0;0;0;159;115;109409;
160060005000067;1;29;91;71;18;22;14;3;2;2;17;4811;42855;53097;23520;43660;51800;18000;16000;40000;269;252;293743;9;60;51;13;20;7;2;2;2;7;1427;28495;38157;16860;40060;25100;12000;16000;40000;173;166;218099;20;31;20;5;2;7;1;0;0;10;3384;14360;14940;6660;3600;26700;6000;0;0;96;86;75644;29;91;71;18;22;14;3;2;2;17;4811;42855;53097;23520;43660;51800;18000;16000;40000;269;252;293743;9;60;51;13;20;7;2;2;2;7;1427;28495;38157;16860;40060;25100;12000;16000;40000;173;166;218099;20;31;20;5;2;7;1;0;0;10;3384;14360;14940;6660;3600;26700;6000;0;0;96;86;75644;
160060005000068;1;23;145;94;45;24;25;0;0;0;66;4153;69397;75454;60428;51723;83719;0;0;0;422;356;344874;4;86;74;36;16;17;0;0;0;27;784;42150;59635;48446;33123;60800;0;0;0;260;233;244938;19;59;20;9;8;8;0;0;0;39;3369;27247;15819;11982;18600;22919;0;0;0;162;123;99936;23;145;94;45;24;25;0;0;0;66;4153;69397;75454;60428;51723;83719;0;0;0;422;356;344874;4;86;74;36;16;17;0;0;0;27;784;42150;59635;48446;33123;60800;0;0;0;260;233;244938;19;59;20;9;8;8;0;0;0;39;3369;27247;15819;11982;18600;22919;0;0;0;162;123;99936;
160060005000069;2;0;7;2;1;1;0;0;0;0;3;0;3460;1380;1050;2000;0;0;0;0;14;11;7890;0;6;2;1;1;0;0;0;0;2;0;3060;1380;1050;2000;0;0;0;0;12;10;7490;0;1;0;0;0;0;0;0;0;1;0;400;0;0;0;0;0;0;0;2;1;400;0;7;2;1;1;0;0;0;0;3;0;3460;1380;1050;2000;0;0;0;0;14;11;7890;0;6;2;1;1;0;0;0;0;2;0;3060;1380;1050;2000;0;0;0;0;12;10;7490;0;1;0;0;0;0;0;0;0;1;0;400;0;0;0;0;0;0;0;2;1;400;
