"Cod_bairro","Nome_do_bairro","ipc","compEntorno","compPessoas","compDomRenda","compDomiciliosMulher","comp5maisdomicilio","compbanheiro","compagua","compUBS"
3304557035,"Grajaú",0.799470291101024,0.841493346295291,0.653376460011429,0.329122807017544,0.27907320115775,0.184992175992955,0.199085454844624,0.190340629141228,0
3304557036,"Manguinhos",0.447959313372944,0.206715791559019,0.45230174356995,0.12780487804878,0.27957513593697,0.158115269404326,0.199787123448175,0.199153134088582,0.3
3304557037,"Bonsucesso",0.723488317741534,0.811120701745821,0.573696480211727,0.206486486486486,0.283188080457594,0.180523330395544,0.199441545191411,0.199196409193611,0
3304557038,"Ramos",0.740970266042132,0.885380499212692,0.554654258647176,0.204705882352941,0.289312218145039,0.179952001151971,0.199286529737754,0.198931627023863,0.1
3304557039,"Olaria",0.720987995318144,0.832055174813888,0.545523226463086,0.208085106382979,0.273213593499305,0.179062022957135,0.199866010989199,0.198372444348146,0
3304557040,"Penha",0.668484829299906,0.722456161686224,0.530225899099853,0.185161290322581,0.290138657925057,0.170645938225267,0.198551087041471,0.198414111524322,0.3
3304557041,"Penha Circular",0.712375263531741,0.810257266449316,0.559496070196861,0.196279069767442,0.294368352434677,0.171971016596442,0.199530073519055,0.199592294066108,0.3
3304557042,"Brás de Pina",0.744869336011662,0.919984149433067,0.547266009318016,0.193846153846154,0.296217399969863,0.174169163544811,0.199918277352417,0.19942425454052,0.1
3304557043,"Cordovil",0.688850134808466,0.851602852806208,0.483515546839965,0.162133333333333,0.285020582212311,0.171730478883239,0.199666409984131,0.197901782578522,0.1
3304557044,"Parada de Lucas",0.565813421200861,0.496526215816888,0.486750728064187,0.14974358974359,0.288489763602218,0.165616958451632,0.199608456952237,0.19919431457405,0
3304557045,"Vigário Geral",0.622626846952117,0.69274759322237,0.466406738053913,0.150625,0.286034765285178,0.163175277817153,0.198744615264254,0.196181316498661,0.3
3304557046,"Jardim América",0.72534484632688,0.84824115228795,0.572696005937948,0.180833333333333,0.30204730948269,0.17478727742589,0.199855761862193,0.199621008133327,0.1
3304557047,"São Francisco Xavier",0.686363260333414,0.711496914924493,0.540980528846633,0.233333333333333,0.268826601747353,0.175638661176807,0.199246543821291,0.198393798897684,0.3
3304557048,"Rocha",0.79902993492862,0.966055428000262,0.596762899940647,0.251428571428571,0.281549674488645,0.184124510520347,0.199359197448017,0.199359197448017,0.3
3304557049,"Riachuelo",0.78606695743501,0.941243234356938,0.583446209902986,0.252173913043478,0.271600880006936,0.18254085468645,0.199604147868553,0.199192512446625,0
3304557050,"Sampaio",0.645675836407698,0.6759600655242,0.519637194634819,0.184,0.281768474171599,0.162264918997978,0.198115646315482,0.197049683750616,0.1
