Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;
260790115000119;1;1168;5;14;15;15;21;24;29;31;21;32;20;26;27;27;30;23;21;16;27;22;20;18;17;26;20;29;25;25;22;18;25;24;24;21;33;27;26;19;20;19;15;21;20;19;11;14;14;13;9;9;5;6;9;7;10;8;5;9;5;4;5;5;3;4;2;4;4;5;2;5;2;1;0;2;1;6;399;268;332;7;33;18;36;3;
260790115000120;1;611;2;7;11;9;13;6;7;5;4;7;12;7;16;9;9;8;9;13;18;8;14;16;22;13;10;14;13;11;14;5;16;9;8;8;8;7;7;6;11;9;10;9;7;9;10;9;12;7;5;8;4;5;5;3;10;9;3;2;7;4;9;9;3;3;3;2;5;1;2;3;3;2;4;2;4;17;197;123;174;11;30;9;22;1;
260790115000121;1;327;2;7;2;4;3;4;6;5;4;6;5;3;6;5;0;10;4;10;5;10;5;7;6;5;3;6;9;8;10;6;3;5;8;7;6;7;5;6;5;3;8;5;6;4;5;4;5;6;3;1;2;5;3;4;3;8;2;3;4;1;2;3;1;1;0;3;1;2;0;1;1;1;2;0;1;5;112;66;89;5;12;4;17;3;
260790115000123;4;466;2;9;7;10;8;9;9;15;8;12;7;13;12;16;9;7;12;13;15;8;10;15;16;14;10;14;9;7;8;9;11;10;6;9;10;10;2;7;8;7;4;7;2;3;2;9;2;5;4;5;4;3;2;4;0;2;2;0;0;2;2;0;1;2;1;0;3;0;0;0;0;1;0;0;0;1;130;105;164;1;14;2;14;0;
260790115000124;1;270;4;3;8;7;1;9;7;11;9;5;4;5;10;9;3;5;5;4;11;3;6;4;9;6;6;3;8;5;3;3;9;7;4;0;1;6;3;4;7;6;5;5;1;1;2;4;3;5;4;2;2;0;1;2;0;3;2;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;75;53;97;0;10;3;6;2;
260790115000125;1;795;17;15;19;25;26;19;28;25;25;29;18;19;18;13;15;23;12;18;14;12;21;15;12;24;17;21;15;24;17;14;10;19;11;13;21;13;8;11;9;4;12;7;10;3;2;4;9;3;5;2;2;5;5;5;3;3;2;3;2;2;2;1;1;0;1;6;0;1;0;1;0;0;1;1;0;2;228;162;245;10;18;9;19;0;
260790115000126;1;720;3;7;13;9;10;12;12;10;11;13;17;15;15;16;11;19;20;13;14;24;19;11;18;13;15;16;13;17;12;7;13;16;20;9;13;19;17;20;7;17;10;7;8;8;8;15;8;8;9;7;6;6;6;4;3;4;6;3;3;6;3;3;3;1;1;3;2;2;0;1;3;0;1;0;3;3;224;152;217;10;33;20;22;0;
260790115000127;1;344;1;2;1;5;8;2;4;4;7;6;5;5;3;9;9;8;5;10;10;7;4;8;4;7;6;3;4;4;0;8;2;4;1;2;2;10;9;3;6;6;6;5;5;8;4;9;5;9;6;6;6;3;3;7;2;4;3;5;1;1;2;3;0;2;4;5;2;2;1;1;2;1;2;3;1;11;114;67;113;1;9;8;13;1;
260790115000128;1;593;6;8;12;14;12;18;11;14;13;14;11;17;19;16;21;12;16;16;16;16;15;16;19;12;9;12;12;14;9;6;14;8;12;13;7;9;3;6;5;11;12;11;9;5;6;6;3;5;6;6;2;2;2;3;1;2;3;3;2;2;0;0;0;0;2;4;0;1;0;0;1;0;0;0;0;0;171;130;185;5;29;6;12;0;
260790115000129;1;422;0;4;8;3;8;8;13;11;9;11;10;7;14;12;10;16;8;12;7;14;7;9;11;9;13;15;3;8;5;10;6;10;5;8;6;7;6;7;6;5;5;3;5;7;5;4;3;4;4;5;3;6;2;1;1;5;1;1;3;1;1;0;0;1;0;0;2;2;1;1;0;0;0;0;0;4;120;87;140;4;19;8;19;0;
260790115000130;1;323;1;7;10;5;9;8;7;11;10;10;5;8;7;8;2;7;8;4;7;8;8;10;8;9;6;11;13;7;1;6;6;11;3;3;4;7;5;1;4;3;5;1;6;4;3;6;1;1;2;1;3;1;2;2;1;2;3;1;0;1;2;2;0;0;2;0;1;0;0;0;0;0;0;0;0;2;88;63;108;0;18;2;11;0;
260790115000131;1;441;3;5;8;4;8;13;11;8;11;14;15;5;10;13;9;12;8;9;10;15;8;15;12;8;9;11;13;7;10;5;10;7;8;7;5;12;6;6;6;3;5;3;4;3;4;3;3;5;3;4;1;3;3;4;3;2;3;2;6;2;0;2;5;0;1;3;2;0;0;1;0;0;0;0;0;2;134;93;151;5;18;4;8;0;
260790120000001;1;424;4;4;11;4;12;13;11;14;7;4;15;11;8;11;6;4;2;4;9;8;15;8;6;4;4;12;18;18;8;9;14;14;8;7;5;10;4;4;9;4;5;6;5;3;9;2;1;1;4;5;2;0;3;1;5;1;3;6;1;3;4;2;2;1;1;0;0;1;2;0;1;1;0;0;0;0;146;95;123;1;12;4;7;0;
260790120000002;1;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;2;1;1;3;4;2;0;2;0;2;5;6;2;2;3;4;2;4;15;0;0;0;0;0;0;0;0;
260790120000003;1;936;13;9;12;17;20;19;20;15;22;16;12;13;18;8;10;20;14;12;19;24;18;17;17;26;12;26;31;18;18;26;26;33;20;26;26;22;24;17;10;11;19;10;10;12;4;12;18;8;4;10;11;8;4;7;4;10;7;6;3;4;4;1;1;4;0;2;3;0;2;1;2;2;1;0;0;5;345;244;220;11;10;9;17;0;
