Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;
140045605000004;1;5;41;40;15;24;16;7;2;2;13;636;19850;31908;20210;48678;58165;45095;18300;25360;165;152;268202;2;29;25;9;17;9;5;1;2;6;280;13850;19946;11180;34550;31965;32250;8300;25360;105;99;177681;3;12;15;6;7;7;2;1;0;7;356;6000;11962;9030;14128;26200;12845;10000;0;60;53;90521;5;40;40;15;24;16;7;2;2;13;636;19500;31908;20210;48678;58165;45095;18300;25360;164;151;267852;2;28;25;9;17;9;5;1;2;6;280;13500;19946;11180;34550;31965;32250;8300;25360;104;98;177331;3;12;15;6;7;7;2;1;0;7;356;6000;11962;9030;14128;26200;12845;10000;0;60;53;90521;
140045605000005;1;20;119;102;35;31;14;1;1;1;23;2769;57031;79326;47540;60301;48312;5634;8000;112000;347;324;420913;4;58;75;25;23;12;1;1;1;10;612;27761;58662;34670;43711;42220;5634;8000;112000;210;200;333270;16;61;27;10;8;2;0;0;0;13;2157;29270;20664;12870;16590;6092;0;0;0;137;124;87643;20;119;102;35;31;14;1;1;1;23;2769;57031;79326;47540;60301;48312;5634;8000;112000;347;324;420913;4;58;75;25;23;12;1;1;1;10;612;27761;58662;34670;43711;42220;5634;8000;112000;210;200;333270;16;61;27;10;8;2;0;0;0;13;2157;29270;20664;12870;16590;6092;0;0;0;137;124;87643;
140045605000006;8;5;19;4;2;2;0;0;1;0;54;543;9690;2950;2730;4195;0;0;8678;0;87;33;28786;3;13;4;1;2;0;0;0;0;50;275;6630;2950;1200;4195;0;0;0;0;73;23;15250;2;6;0;1;0;0;0;1;0;4;268;3060;0;1530;0;0;0;8678;0;14;10;13536;5;19;4;2;2;0;0;1;0;54;543;9690;2950;2730;4195;0;0;8678;0;87;33;28786;3;13;4;1;2;0;0;0;0;50;275;6630;2950;1200;4195;0;0;0;0;73;23;15250;2;6;0;1;0;0;0;1;0;4;268;3060;0;1530;0;0;0;8678;0;14;10;13536;
140045605000007;8;4;24;4;2;3;0;0;0;0;90;540;12100;3100;2400;5900;0;0;0;0;127;37;24040;3;18;4;1;3;0;0;0;0;82;406;9040;3100;1200;5900;0;0;0;0;111;29;19646;1;6;0;1;0;0;0;0;0;8;134;3060;0;1200;0;0;0;0;0;16;8;4394;4;24;4;2;3;0;0;0;0;89;540;12100;3100;2400;5900;0;0;0;0;126;37;24040;3;18;4;1;3;0;0;0;0;81;406;9040;3100;1200;5900;0;0;0;0;110;29;19646;1;6;0;1;0;0;0;0;0;8;134;3060;0;1200;0;0;0;0;0;16;8;4394;
140045605000008;5;12;15;8;3;4;0;0;0;0;31;1712;7016;6240;3868;7600;0;0;0;0;73;42;26436;1;6;6;2;1;0;0;0;0;16;134;2886;4620;2588;1900;0;0;0;0;32;16;12128;11;9;2;1;3;0;0;0;0;15;1578;4130;1620;1280;5700;0;0;0;0;41;26;14308;12;15;8;3;4;0;0;0;0;31;1712;7016;6240;3868;7600;0;0;0;0;73;42;26436;1;6;6;2;1;0;0;0;0;16;134;2886;4620;2588;1900;0;0;0;0;32;16;12128;11;9;2;1;3;0;0;0;0;15;1578;4130;1620;1280;5700;0;0;0;0;41;26;14308;
140045605000009;8;18;20;5;1;3;0;0;0;0;45;2136;9940;4462;1530;5800;0;0;0;0;92;47;23868;2;7;3;1;0;0;0;0;0;25;235;3520;2462;1530;0;0;0;0;0;38;13;7747;16;13;2;0;3;0;0;0;0;20;1901;6420;2000;0;5800;0;0;0;0;54;34;16121;18;20;5;1;3;0;0;0;0;45;2136;9940;4462;1530;5800;0;0;0;0;92;47;23868;2;7;3;1;0;0;0;0;0;25;235;3520;2462;1530;0;0;0;0;0;38;13;7747;16;13;2;0;3;0;0;0;0;20;1901;6420;2000;0;5800;0;0;0;0;54;34;16121;
140045605000010;8;4;4;3;0;1;0;0;0;0;32;532;2030;2206;0;2200;0;0;0;0;44;12;6968;2;4;3;0;1;0;0;0;0;31;300;2030;2206;0;2200;0;0;0;0;41;10;6736;2;0;0;0;0;0;0;0;0;1;232;0;0;0;0;0;0;0;0;3;2;232;4;4;3;0;1;0;0;0;0;32;532;2030;2206;0;2200;0;0;0;0;44;12;6968;2;4;3;0;1;0;0;0;0;31;300;2030;2206;0;2200;0;0;0;0;41;10;6736;2;0;0;0;0;0;0;0;0;1;232;0;0;0;0;0;0;0;0;3;2;232;
140045605000011;5;2;5;0;2;1;0;0;0;0;8;184;2510;0;2900;1600;0;0;0;0;18;10;7194;1;5;0;1;0;0;0;0;0;7;50;2510;0;1400;0;0;0;0;0;14;7;3960;1;0;0;1;1;0;0;0;0;1;134;0;0;1500;1600;0;0;0;0;4;3;3234;2;5;0;2;1;0;0;0;0;8;184;2510;0;2900;1600;0;0;0;0;18;10;7194;1;5;0;1;0;0;0;0;0;7;50;2510;0;1400;0;0;0;0;0;14;7;3960;1;0;0;1;1;0;0;0;0;1;134;0;0;1500;1600;0;0;0;0;4;3;3234;
140045605000012;8;2;7;4;1;0;1;0;0;0;20;194;3140;2922;1200;0;2700;0;0;0;35;15;10156;2;6;3;0;0;0;0;0;0;19;194;2840;2352;0;0;0;0;0;0;30;11;5386;0;1;1;1;0;1;0;0;0;1;0;300;570;1200;0;2700;0;0;0;5;4;4770;2;7;4;1;0;1;0;0;0;20;194;3140;2922;1200;0;2700;0;0;0;35;15;10156;2;6;3;0;0;0;0;0;0;19;194;2840;2352;0;0;0;0;0;0;30;11;5386;0;1;1;1;0;1;0;0;0;1;0;300;570;1200;0;2700;0;0;0;5;4;4770;
140045605000013;5;7;12;10;5;4;3;0;0;0;24;941;5850;7391;5911;7500;9600;0;0;0;65;41;37193;2;7;8;5;2;3;0;0;0;18;240;3300;5715;5911;3860;9600;0;0;0;45;27;28626;5;5;2;0;2;0;0;0;0;6;701;2550;1676;0;3640;0;0;0;0;20;14;8567;7;12;8;5;4;2;0;0;0;24;941;5850;6204;5911;7500;6900;0;0;0;62;38;33306;2;7;7;5;2;2;0;0;0;18;240;3300;5204;5911;3860;6900;0;0;0;43;25;25415;5;5;1;0;2;0;0;0;0;6;701;2550;1000;0;3640;0;0;0;0;19;13;7891;
140045605000014;8;7;19;3;1;6;0;0;0;0;33;1213;9340;2235;1200;12179;0;0;0;0;69;36;26167;5;11;2;1;4;0;0;0;0;32;883;5270;1215;1200;8100;0;0;0;0;55;23;16668;2;8;1;0;2;0;0;0;0;1;330;4070;1020;0;4079;0;0;0;0;14;13;9499;7;19;3;1;6;0;0;0;0;33;1213;9340;2235;1200;12179;0;0;0;0;69;36;26167;5;11;2;1;4;0;0;0;0;32;883;5270;1215;1200;8100;0;0;0;0;55;23;16668;2;8;1;0;2;0;0;0;0;1;330;4070;1020;0;4079;0;0;0;0;14;13;9499;
140045605000015;5;30;32;21;6;7;3;0;0;0;43;3600;13592;16178;7421;15550;8800;0;0;0;142;99;65141;20;24;13;5;4;1;0;0;0;29;2472;10002;10130;6361;9300;3200;0;0;0;96;67;41465;10;8;8;1;3;2;0;0;0;14;1128;3590;6048;1060;6250;5600;0;0;0;46;32;23676;30;32;21;6;7;3;0;0;0;43;3600;13592;16178;7421;15550;8800;0;0;0;142;99;65141;20;24;13;5;4;1;0;0;0;29;2472;10002;10130;6361;9300;3200;0;0;0;96;67;41465;10;8;8;1;3;2;0;0;0;14;1128;3590;6048;1060;6250;5600;0;0;0;46;32;23676;
140045605000016;8;1;6;3;1;0;0;0;0;0;13;90;2950;2470;1500;0;0;0;0;0;24;11;7010;0;5;3;1;0;0;0;0;0;13;0;2440;2470;1500;0;0;0;0;0;22;9;6410;1;1;0;0;0;0;0;0;0;0;90;510;0;0;0;0;0;0;0;2;2;600;1;6;3;1;0;0;0;0;0;13;90;2950;2470;1500;0;0;0;0;0;24;11;7010;0;5;3;1;0;0;0;0;0;13;0;2440;2470;1500;0;0;0;0;0;22;9;6410;1;1;0;0;0;0;0;0;0;0;90;510;0;0;0;0;0;0;0;2;2;600;
140045605000017;8;10;9;2;5;4;0;0;0;0;32;1365;4590;1670;6689;8883;0;0;0;0;62;30;23197;8;7;2;4;4;0;0;0;0;32;1160;3570;1670;5159;8883;0;0;0;0;57;25;20442;2;2;0;1;0;0;0;0;0;0;205;1020;0;1530;0;0;0;0;0;5;5;2755;10;9;2;5;4;0;0;0;0;32;1365;4590;1670;6689;8883;0;0;0;0;62;30;23197;8;7;2;4;4;0;0;0;0;32;1160;3570;1670;5159;8883;0;0;0;0;57;25;20442;2;2;0;1;0;0;0;0;0;0;205;1020;0;1530;0;0;0;0;0;5;5;2755;
