Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;
140005005000036;8;0;0;0;0;12;0;0;0;0;23
140005005000037;8;0;0;0;0;97;0;0;0;0;99
140005005000038;8;0;0;0;0;27;0;0;0;0;27
140005005000039;5;0;0;0;0;9;0;0;0;0;8
140005005000040;1;15;6;4;53;0;19;5;4;52;0
140005005000042;7;0;0;0;2;7;0;0;0;8;5
140005005000043;8;0;0;0;0;18;0;0;0;0;11
140005005000045;8;0;0;0;0;8;0;0;0;0;8
140005005000046;8;0;0;0;6;6;0;0;0;3;1
140005005000047;8;1;1;0;16;20;2;1;0;17;21
140005005000050;8;0;0;0;0;8;0;0;0;0;10
140005005000052;7;2;0;0;0;6;0;0;0;0;4
140005005000053;7;0;0;0;0;25;0;0;0;0;25
140005005000054;7;0;0;0;6;0;0;0;0;3;0
140005005000055;7;2;0;0;5;19;0;0;0;5;18
140010005000001;1;1;0;0;3;0;2;0;0;1;0
140010005000002;1;5;1;0;8;0;3;0;0;7;0
140010005000003;1;9;2;0;30;1;5;1;0;34;2
140010005000004;1;0;0;0;2;0;3;0;0;4;0
140010005000005;1;8;0;0;11;0;3;1;0;5;0
140010005000006;1;6;0;0;8;0;2;0;0;3;0
140010005000007;1;6;0;0;6;0;9;1;0;7;0
140010005000008;1;0;0;0;1;0;1;0;0;1;0
140010005000009;1;5;1;0;2;0;3;0;0;2;0
140010005000010;1;4;1;0;1;0;7;0;0;2;0
140010005000011;1;4;0;0;3;1;8;0;0;1;0
140010005000012;1;4;0;0;5;0;4;0;0;4;0
140010005000013;1;3;0;0;0;0;8;0;0;5;0
140010005000014;1;1;0;0;2;0;0;0;0;5;0
140010005000015;1;7;2;0;46;1;4;0;0;37;1
140010005000016;1;10;0;0;11;0;11;0;0;17;0
140010005000017;1;8;0;0;12;0;6;1;0;6;0
140010005000018;1;10;0;0;22;0;18;1;0;24;0
140010005000019;1;13;1;0;25;0;10;2;0;22;0
140010005000020;1;0;0;0;0;0;0;0;0;0;0
140010005000021;1;6;1;0;31;2;13;0;0;24;5
140010005000022;1;4;0;0;25;0;5;2;0;23;3
140010005000023;1;6;0;1;21;0;1;0;1;15;2
140010005000024;1;8;3;0;14;0;10;2;0;20;0
140010005000025;1;7;0;1;13;1;5;0;0;15;0
140010005000026;1;7;0;0;16;2;2;0;0;13;2
140010005000028;1;18;2;0;61;0;24;2;0;41;1
140010005000029;1;8;1;0;13;2;14;2;0;19;0
140010005000030;1;17;1;0;36;0;18;3;0;39;1
140010005000031;1;5;0;0;11;2;11;0;0;12;1
140010005000032;1;3;2;1;15;2;5;2;1;19;1
140010005000033;1;17;7;0;37;2;16;5;0;51;0
140010005000034;1;24;5;0;30;1;10;1;0;31;3
140010005000035;1;6;3;1;20;2;11;3;1;22;4
140010005000036;1;4;0;0;14;3;5;0;0;15;2
140010005000037;1;1;1;0;57;1;6;0;0;57;1
140010005000038;1;3;0;1;19;5;3;0;2;16;5
140010005000039;1;23;0;0;11;1;20;3;0;16;0
140010005000040;1;7;0;0;10;0;8;0;0;14;0
140010005000041;1;32;1;0;19;1;19;0;0;17;2
140010005000042;1;10;0;0;18;3;12;0;1;20;0
140010005000043;1;15;0;0;8;0;11;3;0;6;0
140010005000044;1;24;0;0;6;0;17;0;1;11;0
140010005000045;1;24;1;3;15;0;29;0;0;7;0
140010005000046;1;6;0;0;6;2;12;3;0;6;2
140010005000047;1;4;0;0;7;0;4;0;0;7;0
140010005000048;1;5;0;1;6;0;9;2;0;5;1
140010005000049;1;5;0;0;3;0;1;0;0;7;0
140010005000050;1;8;0;0;15;0;6;0;0;9;0
140010005000051;1;7;1;0;3;0;6;1;0;3;1
140010005000052;1;6;0;0;14;0;11;0;0;14;0
140010005000053;1;9;0;0;6;0;5;0;0;1;0
140010005000054;1;8;1;0;16;0;9;1;0;9;0
140010005000055;1;2;0;0;2;0;3;0;0;3;0
140010005000056;1;8;1;0;15;0;9;1;0;17;0
140010005000057;1;11;2;0;14;1;11;0;0;17;0
140010005000058;1;16;0;0;11;0;16;1;0;21;0
140010005000059;1;12;0;0;14;0;14;1;0;14;0
140010005000060;1;14;1;1;9;1;11;1;1;7;1
140010005000061;1;4;0;0;12;1;3;0;0;7;0
140010005000062;1;3;1;0;13;0;7;2;0;11;0
140010005000063;1;3;2;0;10;0;7;0;0;7;0
140010005000064;1;10;1;1;14;2;8;0;2;12;5
140010005000065;1;4;0;0;7;0;5;1;0;3;0
140010005000066;1;4;0;0;18;1;5;0;0;7;1
140010005000067;1;5;1;0;1;0;7;2;0;5;0
140010005000068;1;12;0;0;20;0;14;0;0;18;0
140010005000069;1;8;2;0;25;0;11;1;0;15;0
140010005000070;1;11;0;0;8;1;16;1;0;12;0
140010005000071;1;8;1;0;11;0;6;0;0;9;0
140010005000072;1;7;0;0;14;0;8;0;0;19;0
140010005000073;1;10;2;0;19;2;12;0;0;19;1
140010005000074;1;13;1;0;13;1;6;0;0;18;0
140010005000075;1;12;0;0;15;1;11;0;0;10;0
140010005000076;1;11;3;0;20;0;8;0;0;20;2
140010005000077;1;1;1;0;18;1;5;1;0;22;0
140010005000078;1;12;0;0;19;1;9;0;1;15;0
140010005000079;1;9;3;0;10;0;5;3;0;18;0
140010005000080;1;7;1;0;34;1;7;2;0;24;2
140010005000081;1;9;3;0;29;2;17;1;0;19;2
140010005000082;1;11;5;0;27;0;5;2;0;20;0
140010005000083;1;20;2;0;29;1;13;1;1;30;0
140010005000084;1;9;2;0;14;0;2;1;0;14;0
140010005000085;1;4;1;0;18;0;4;0;0;12;2
140010005000086;1;11;1;2;20;1;9;0;0;9;1
140010005000087;1;1;0;0;21;0;0;0;0;17;0
140010005000088;1;7;0;0;21;0;6;1;0;14;1
140010005000089;1;9;1;1;25;0;17;0;1;21;0
140010005000090;1;10;2;0;22;0;9;1;0;27;1
140010005000091;1;11;0;0;29;1;6;0;0;25;0
140010005000092;1;7;1;0;23;1;14;2;0;14;1
140010005000093;1;8;0;0;24;1;9;0;0;24;1
140010005000094;1;8;0;0;16;0;11;0;0;16;1
140010005000095;1;4;0;1;27;1;9;2;0;21;2
140010005000096;1;14;0;0;27;0;7;1;0;30;0
140010005000097;1;9;2;0;24;0;10;0;0;27;0
140010005000098;1;18;0;2;21;0;14;1;0;17;2
140010005000099;1;12;1;0;12;0;14;0;0;23;0
140010005000100;1;16;2;0;21;1;22;3;1;23;0
140010005000101;1;2;0;0;5;0;3;0;0;4;1
