Cod_setor;Situacao_setor;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;V135;V136;V137;V138;V139;V140;V141;V142;V143;V144;V145;V146;V147;V148;V149;V150;V151;V152;V153;V154;V155;V156;V157;V158;V159;V160;V161;V162;V163;V164;V165;V166;V167;V168;V169;V170;V171;V172;V173;V174;V175;V176;V177;V178;V179;V180;V181;V182;V183;V184;V185;V186;V187;V188;V189;V190;V191;V192;V193;V194;V195;V196;V197;V198;V199;V200;V201;V202;V203;V204;V205;V206;V207;V208;V209;V210;V211;V212;V213;V214;V215;V216;V217;V218;V219;V220;V221;V222;V223;V224;V225;V226;V227;V228;V229;V230;V231;V232;V233;V234;V235;V236;V237;V238;V239;V240;V241;V242;V243;V244;V245;V246;V247;V248;V249;V250;V251;V252;V253;V254;V255;
140002705000011;8;57;2;2;0;5;2;2;2;3;2;2;0;2;0;0;0;2;2;0;1;2;1;0;0;0;1;0;0;0;0;2;1;0;1;1;3;0;1;1;1;2;2;1;0;0;1;0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;25;1;18;0;0;0;2;0;45;1;1;2;1;0;2;2;4;2;2;1;4;0;3;1;1;2;2;1;0;1;0;0;1;1;0;1;2;0;0;0;0;1;0;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;21;1;0;1;1;0
140002705000012;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X"
140002705000013;8;60;1;0;0;0;0;1;1;1;0;2;3;1;2;0;2;5;3;1;2;1;1;2;1;0;0;0;4;0;0;0;0;2;0;1;1;2;1;1;3;1;2;0;1;1;1;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;27;0;11;0;0;0;7;0;23;0;0;0;0;0;0;0;0;1;1;0;0;1;2;0;0;1;1;0;1;0;1;1;2;0;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;18;1;0;0;0;1;0
140002705000014;8;48;0;0;1;1;0;1;0;1;1;3;3;0;1;1;0;1;0;2;1;1;1;1;0;0;2;2;0;0;0;1;1;1;1;0;0;0;0;1;1;2;3;0;0;1;0;1;0;0;0;2;2;1;0;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;23;0;9;0;1;1;0;8;26;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;1;0;1;2;0;1;0;1;0;0;1;0;0;0;0;1;0;0;1;1;1;0;1;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;19;3;0;1;0;1;0
140002705000015;8;11;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0
140002705000016;8;21;0;1;0;1;0;1;0;0;0;0;0;1;0;2;2;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;8;0;1;0;1;0;17;0;0;1;0;0;1;2;0;2;1;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;7;0;0;0;1;0
140002705000017;8;15;0;1;1;2;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;0;0;0;0;0;11;1;0;0;0;1;1;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;4;0;0;0;0;0
140002705000018;8;109;5;1;3;3;2;1;4;4;4;1;3;5;2;4;1;5;5;5;1;1;4;3;1;3;1;1;2;1;0;2;1;2;1;2;2;1;1;0;1;1;2;1;0;1;0;3;0;1;0;1;0;0;1;1;0;0;1;2;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;46;2;38;0;7;0;2;0;106;5;2;3;6;3;3;4;4;3;3;9;4;4;2;1;1;2;2;3;1;2;3;4;1;1;2;1;2;0;3;2;2;0;0;1;0;0;1;0;4;1;2;0;0;0;1;0;1;0;0;1;1;1;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;42;31;0;3;1;3;0
140002705000019;5;212;1;2;7;5;6;8;4;5;17;7;9;8;10;6;4;7;1;4;4;4;4;2;6;4;4;3;1;4;5;2;1;6;3;1;3;3;2;2;1;1;6;2;2;1;1;2;0;1;1;1;3;1;0;2;2;3;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;1;0;2;51;35;89;1;4;4;5;2;186;1;3;4;7;5;10;4;13;4;8;6;9;8;5;4;0;2;3;3;5;5;5;5;2;2;3;4;3;3;6;4;2;2;4;4;2;4;2;1;1;3;2;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;48;39;69;0;5;1;4;0
140002705000020;8;40;0;1;1;0;0;2;2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;1;0;0;0;0;0;0;0;2;0;0;0;0;1;0;1;1;0;0;3;0;2;1;2;1;2;1;0;1;0;1;2;2;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;25;2;9;0;1;0;0;1;23;1;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;2;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;8;9;2;0;2;0;0;0
