Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;
140002705000011;8;158;158;31;23;83;1;4;0;4;0;6;0;2;0;4;0;0;0;0;0;0;7;2;2;1;1;0;1;0;0;0;0;0;0;7;7;6;3;7;5;3;7;3;4;5;7;4;4;1;6;0;3;1;3;4;4;2;2;2;0;0;1;3;0;1;2;1;2;1;0;3;1;4;1;2;1;2;3;2;1;1;0;1;1;2;0;1;1;1;1;0;0;2;0;0;0;1;1;1;1;0;1;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140002705000012;8;14;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X"
140002705000013;8;102;102;30;19;24;0;0;1;0;1;1;0;0;0;8;0;0;0;16;2;0;4;0;0;0;0;1;0;1;0;0;0;1;1;2;2;4;0;3;0;0;0;0;1;1;1;1;3;3;1;3;2;2;5;4;2;3;2;1;3;2;2;0;1;5;1;0;0;1;2;0;1;1;3;1;1;3;1;2;0;3;2;2;2;0;1;0;2;0;0;0;0;0;1;1;1;0;0;1;0;1;1;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140002705000014;8;90;90;26;20;20;1;2;1;0;0;4;0;1;0;0;0;9;0;4;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;3;3;1;0;2;2;1;0;2;0;1;3;3;4;1;1;1;0;2;0;3;3;1;2;1;1;0;2;3;1;0;0;1;2;1;1;1;1;1;0;2;1;2;4;1;0;2;1;2;0;0;1;3;2;1;0;0;0;2;1;1;1;0;2;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140002705000015;8;21;21;6;4;3;1;4;0;0;0;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;2;0;0;3;1;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140002705000016;8;52;52;12;11;13;10;0;0;0;1;2;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;1;1;0;2;2;0;2;1;1;1;0;2;2;0;1;2;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;1;2;0;5;1;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;3;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140002705000017;8;39;39;7;6;19;3;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;3;1;1;2;2;3;3;1;3;0;0;1;0;0;1;1;0;0;0;1;0;1;0;1;1;0;0;1;0;0;0;2;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140002705000018;8;299;299;70;53;111;31;7;3;0;0;20;1;1;0;2;0;0;0;0;0;0;9;0;0;1;0;1;0;0;2;3;1;1;0;13;11;10;8;11;4;6;9;7;4;8;8;8;4;12;9;6;6;2;6;7;7;4;2;7;7;5;4;2;4;3;4;0;5;3;4;1;3;3;1;1;1;2;5;3;3;0;1;1;4;1;4;0;1;2;2;2;2;0;2;3;2;3;0;1;1;2;1;1;0;0;0;2;0;1;1;0;1;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1
140002705000019;5;587;582;127;89;189;92;21;7;1;1;44;1;6;0;7;0;2;0;0;0;0;26;3;0;0;2;3;2;4;2;4;2;3;1;17;12;15;18;21;18;19;16;14;21;9;18;21;17;16;18;18;11;8;7;3;7;7;9;9;7;12;6;6;7;7;7;8;8;8;10;6;7;8;5;8;5;2;3;9;4;4;2;2;2;1;3;2;4;6;3;1;6;5;3;2;3;2;2;2;2;1;0;3;0;0;0;0;1;1;0;0;1;1;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140002705000020;8;104;104;48;20;16;8;1;0;0;0;6;0;0;0;1;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;1;4;2;2;1;0;3;2;4;0;0;1;1;0;0;0;0;1;0;0;0;1;3;0;1;1;3;0;1;0;0;2;1;0;0;1;2;0;0;1;0;2;2;1;1;1;1;4;3;4;4;6;3;2;3;1;1;1;1;4;3;2;2;2;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
