"Cod_bairro","Nome_do_bairro","ipc","compEntorno","compPessoas","compDomRenda","compDomiciliosMulher","compDomicilios","compNegras","complixo","compLogradouro","compIluminacao","comppavimentacao","compmeiofio","compbueiro","compesgoto","comp5maisdomicilio","compbanheiro","compagua"
4106902019,"Tarumã",0.842597903881522,0.906748603577182,0.765803394281705,0.790909090909091,0.338158304772473,0.958619339730539,0.427645089509232,0.126670845519525,0.130677159305751,0.140598793674918,0.132199067908968,0.12142890541611,0.121587236782893,0.133586594969017,0.306015834786677,0.326238372007339,0.326365132936523
4106902020,"Capão da Imbuia",0.736736736244577,0.79123166390717,0.714490755104217,0.607692307692308,0.306404942002715,0.962576646826881,0.408085813101502,0.136048261330748,0.0753437519597137,0.0734244191254055,0.137516738751377,0.123245594546958,0.104622909499596,0.141029988693372,0.296709637928006,0.33312724681228,0.332739762086595
4106902021,"Cajuru",0.67500276728093,0.836012517169345,0.65834718303191,0.466071428571429,0.305415755409658,0.948511279060536,0.352931427622251,0.127779787494288,0.121691117815488,0.133740670918065,0.121114491935606,0.0923924626860723,0.109498887001354,0.129795099318472,0.28489786227693,0.332224141250098,0.331389275533508
4106902022,"Jardim das Américas",0.861921708973665,0.951786536095557,0.789344478601475,0.8,0.360377107193283,0.968477530171291,0.428967371408192,0.13702106901706,0.139994003249536,0.142577131027745,0.141120699391089,0.135854842920747,0.118694067779987,0.136524722709394,0.30319403235304,0.332378685321602,0.332904812496649
4106902023,"Guabirotuba",0.831446150951247,0.947927190430604,0.771511547659668,0.7375,0.345308192701025,0.962792016665963,0.426203354958643,0.138987386286353,0.132787780373467,0.14061539972413,0.132624998918652,0.129575702752282,0.135881867005695,0.137454055370025,0.300311875758831,0.331528343605361,0.330951797301771
4106902024,"Prado Velho",0.619538845651008,0.68883019227486,0.6101901824923,0.44,0.291836654915766,0.918673853487881,0.318353527576534,0.100303660243079,0.118877720263271,0.0787180206061234,0.125966232175663,0.0846668407618835,0.0784115593964659,0.101886158828374,0.267395163855482,0.326817064455128,0.324461625177271
4106902025,"Parolin",0.678418461560611,0.697026387317102,0.689834948969809,0.538888888888889,0.334321182047512,0.927453193738368,0.355513766922297,0.0899422052861568,0.0972950346295034,0.110609783326089,0.112901928169477,0.0871483857903062,0.0897534023970956,0.109375647718474,0.267520898374286,0.330212231506921,0.329720063857161
4106902026,"Guaíra",0.734333869695272,0.862637969873381,0.700420287406512,0.584210526315789,0.309773189278951,0.940190038564888,0.390647098127562,0.116627131068254,0.125895832977844,0.134726718964747,0.135829521559202,0.110815167959962,0.107810324968249,0.130933272375123,0.287828778381192,0.330622070504354,0.321739189679341
4106902027,"Portão",0.830373799735255,0.944498036742573,0.744999897517197,0.745588235294118,0.312810299758068,0.971194593828272,0.432189597759129,0.135042920033031,0.136884587432646,0.138746481803247,0.138672916707622,0.128500550590815,0.130117685269635,0.136532894905576,0.308207831930542,0.332455499418282,0.330531262479448
4106902028,"Vila Izabel",0.895810585525948,0.97924627399711,0.748449347181393,0.883333333333333,0.293926736519515,0.984690639784571,0.454522610661878,0.141723575088473,0.135719469450666,0.137751292391922,0.141860026659005,0.140821268340554,0.139848251637764,0.141522390428726,0.319488363976028,0.332809039899581,0.332393235908962
4106902029,"Seminário",0.927089492262855,0.966861964625807,0.785935603733863,0.953846153846154,0.325881724759192,0.974957585262297,0.460053878974672,0.14102380038431,0.138317930162269,0.138789847868221,0.141780123566358,0.139577318419041,0.124813323339961,0.142559620885647,0.309907409767104,0.333293206532643,0.33175696896255
