Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132
170600105000002;1;1082;1077;1077;0;0;871;0;127;0;76;3;1067;3;0;7;1072;11;700;344;5;0;12;5;1053;915;105;25;8;24;1067;1067;0;8;0;2;0;0;1038;1038;0;39;1003;11;24;540;538;538;0;0;439;0;59;0;38;2;532;2;0;4;536;5;345;176;1;0;9;2;527;458;50;14;5;11;532;532;0;5;0;1;0;0;512;512;0;26;490;8;14;542;539;539;0;0;432;0;68;0;38;1;535;1;0;3;536;6;355;168;4;0;3;3;526;457;55;11;3;13;535;535;0;3;0;1;0;0;526;526;0;13;513;3;10
170600105000003;8;596;596;596;0;0;474;11;0;63;34;14;27;476;0;93;509;1;59;370;43;0;36;87;490;450;40;0;0;106;8;8;0;557;11;18;0;2;512;512;0;84;494;18;0;328;328;328;0;0;259;6;0;39;17;7;14;263;0;51;282;1;32;200;26;0;23;46;270;246;24;0;0;58;3;3;0;307;7;10;0;1;279;279;0;49;269;10;0;268;268;268;0;0;215;5;0;24;17;7;13;213;0;42;227;0;27;170;17;0;13;41;220;204;16;0;0;48;5;5;0;250;4;8;0;1;233;233;0;35;225;8;0
170600105000004;5;202;202;195;7;0;178;0;4;4;16;0;181;12;0;9;201;0;138;33;21;0;9;1;201;162;32;2;5;1;126;126;0;65;1;5;0;5;200;200;0;2;183;13;4;120;120;115;5;0;107;0;2;2;9;0;105;8;0;7;119;0;83;19;13;0;4;1;119;97;19;1;2;1;74;74;0;40;1;3;0;2;119;119;0;1;109;8;2;82;82;80;2;0;71;0;2;2;7;0;76;4;0;2;82;0;55;14;8;0;5;0;82;65;13;1;3;0;52;52;0;25;0;2;0;3;81;81;0;1;74;5;2
170600105000005;8;381;381;381;0;0;107;158;0;104;12;0;155;60;13;153;321;0;24;288;0;5;4;60;308;296;11;0;1;73;0;0;0;349;17;13;0;2;324;317;7;57;288;9;20;202;202;202;0;0;59;74;0;62;7;0;73;37;6;86;167;0;11;152;0;2;2;35;160;153;6;0;1;42;0;0;0;184;11;6;0;1;167;163;4;35;144;7;12;179;179;179;0;0;48;84;0;42;5;0;82;23;7;67;154;0;13;136;0;3;2;25;148;143;5;0;0;31;0;0;0;165;6;7;0;1;157;154;3;22;144;2;8
170600105000006;8;691;691;691;0;0;562;0;0;70;59;0;1;618;0;72;468;0;18;379;69;0;2;223;395;331;55;3;6;296;2;0;2;621;7;58;0;3;669;669;0;22;626;43;0;374;374;374;0;0;312;0;0;35;27;0;1;337;0;36;255;0;12;204;38;0;1;119;215;181;29;2;3;159;1;0;1;340;4;27;0;2;361;361;0;13;338;23;0;317;317;317;0;0;250;0;0;35;32;0;0;281;0;36;213;0;6;175;31;0;1;104;180;150;26;1;3;137;1;0;1;281;3;31;0;1;308;308;0;9;288;20;0
170600105000007;5;260;260;36;224;0;212;0;8;0;35;5;247;4;0;9;249;5;50;181;0;0;13;11;244;185;52;2;5;16;166;40;126;88;0;1;0;5;229;229;0;31;212;3;14;136;136;22;114;0;108;0;4;0;20;4;131;1;0;4;128;3;25;95;0;0;5;8;125;95;24;2;4;11;87;21;66;45;0;0;0;4;118;118;0;18;108;2;8;124;124;14;110;0;104;0;4;0;15;1;116;3;0;5;121;2;25;86;0;0;8;3;119;90;28;0;1;5;79;19;60;43;0;1;0;1;111;111;0;13;104;1;6
170600105000008;8;562;562;558;0;0;378;56;0;101;24;3;0;464;0;98;400;0;40;287;25;0;48;162;386;322;52;12;0;176;0;0;0;488;34;11;0;29;552;549;3;10;482;66;1;309;309;308;0;0;205;36;0;55;11;2;0;252;0;57;223;0;24;159;11;0;29;86;215;181;27;7;0;94;0;0;0;272;16;5;0;16;304;302;2;5;266;35;1;253;253;250;0;0;173;20;0;46;13;1;0;212;0;41;177;0;16;128;14;0;19;76;171;141;25;5;0;82;0;0;0;216;18;6;0;13;248;247;1;5;216;31;0
170600105000009;8;302;302;302;0;0;283;0;0;0;19;0;0;246;0;56;158;0;1;101;16;0;40;144;131;99;24;0;8;171;0;0;0;286;6;8;0;2;281;281;0;21;260;21;0;158;158;158;0;0;147;0;0;0;11;0;0;126;0;32;85;0;1;51;9;0;24;73;69;51;13;0;5;89;0;0;0;149;4;4;0;1;148;148;0;10;134;14;0;144;144;144;0;0;136;0;0;0;8;0;0;120;0;24;73;0;0;50;7;0;16;71;62;48;11;0;3;82;0;0;0;137;2;4;0;1;133;133;0;11;126;7;0
170600105000010;8;131;131;2;129;0;126;0;0;2;0;3;0;131;0;0;84;0;37;33;0;0;14;47;70;36;21;9;4;61;0;0;0;119;3;0;0;9;131;131;0;0;128;3;0;70;70;1;69;0;67;0;0;2;0;1;0;70;0;0;43;0;18;16;0;0;9;27;34;18;9;5;2;36;0;0;0;64;2;0;0;4;70;70;0;0;69;1;0;61;61;1;60;0;59;0;0;0;0;2;0;61;0;0;41;0;19;17;0;0;5;20;36;18;12;4;2;25;0;0;0;55;1;0;0;5;61;61;0;0;59;2;0
170610005000001;1;788;784;784;0;0;618;0;94;0;69;3;783;1;0;0;779;13;0;762;4;0;0;5;775;547;160;48;20;9;764;764;0;15;0;5;0;0;774;770;4;10;733;37;0;409;407;407;0;0;320;0;48;0;37;2;407;0;0;0;405;6;0;396;3;0;0;2;402;292;76;24;10;5;398;398;0;7;0;2;0;0;402;401;1;5;382;19;0;379;377;377;0;0;298;0;46;0;32;1;376;1;0;0;374;7;0;366;1;0;0;3;373;255;84;24;10;4;366;366;0;8;0;3;0;0;372;369;3;5;351;18;0
170610005000002;1;666;656;652;4;0;526;0;102;5;23;0;647;9;0;0;655;4;4;647;0;0;0;1;655;388;167;78;22;1;653;650;3;0;0;3;0;0;656;656;0;0;611;45;0;306;301;300;1;0;239;0;48;3;11;0;298;3;0;0;301;2;3;296;0;0;0;0;301;182;76;33;10;0;300;300;0;0;0;1;0;0;301;301;0;0;276;25;0;360;355;352;3;0;287;0;54;2;12;0;349;6;0;0;354;2;1;351;0;0;0;1;354;206;91;45;12;1;353;350;3;0;0;2;0;0;355;355;0;0;335;20;0
170610005000003;1;775;775;775;0;0;636;9;70;1;59;0;774;0;0;1;772;0;1;771;0;0;0;3;764;654;88;10;12;11;775;775;0;0;0;0;0;0;771;771;0;4;765;6;0;387;387;387;0;0;316;7;36;1;27;0;386;0;0;1;384;0;0;384;0;0;0;3;380;328;41;6;5;7;387;387;0;0;0;0;0;0;385;385;0;2;381;4;0;388;388;388;0;0;320;2;34;0;32;0;388;0;0;0;388;0;1;387;0;0;0;0;384;326;47;4;7;4;388;388;0;0;0;0;0;0;386;386;0;2;384;2;0
170610005000004;1;670;667;666;1;0;545;6;84;0;32;0;600;67;0;0;667;0;10;657;0;0;0;0;667;572;72;13;10;0;667;667;0;0;0;0;0;0;666;666;0;1;661;5;0;344;342;342;0;0;280;3;44;0;15;0;302;40;0;0;342;0;4;338;0;0;0;0;342;287;41;8;6;0;342;342;0;0;0;0;0;0;341;341;0;1;339;2;0;326;325;324;1;0;265;3;40;0;17;0;298;27;0;0;325;0;6;319;0;0;0;0;325;285;31;5;4;0;325;325;0;0;0;0;0;0;325;325;0;0;322;3;0
170610005000005;1;752;752;750;2;0;554;0;129;12;52;5;692;60;0;0;747;0;205;539;0;0;3;5;744;518;151;56;19;8;736;0;736;8;4;4;0;0;744;737;7;8;656;81;0;362;362;361;1;0;271;0;59;6;24;2;333;29;0;0;362;0;98;262;0;0;2;0;360;248;78;24;10;2;356;0;356;2;2;2;0;0;358;354;4;4;315;39;0;390;390;389;1;0;283;0;70;6;28;3;359;31;0;0;385;0;107;277;0;0;1;5;384;270;73;32;9;6;380;0;380;6;2;2;0;0;386;383;3;4;341;42;0
