Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;
172100005000031;1;680;2;6;3;9;11;9;13;10;8;12;15;24;15;23;31;28;39;23;17;16;22;14;21;19;18;17;12;16;11;6;13;13;9;14;11;6;9;8;12;7;10;7;10;6;9;10;6;4;1;4;10;5;1;1;4;0;2;1;1;2;3;2;0;0;0;1;1;1;0;0;1;0;1;0;0;4;259;117;150;6;17;33;32;35;
172100005000032;1;634;7;3;4;9;8;10;7;12;8;13;11;16;18;25;12;24;23;14;16;17;15;13;8;9;10;19;5;8;11;13;7;7;3;10;10;12;11;9;11;17;16;9;14;10;13;10;7;12;6;3;12;8;4;3;5;4;4;2;4;2;2;2;1;0;4;1;3;0;1;0;1;2;1;0;0;3;199;112;129;53;5;40;26;22;
172100005000033;1;606;1;5;5;4;5;11;9;13;9;12;11;12;14;19;14;13;15;23;13;16;16;10;13;16;13;15;7;7;9;5;4;7;8;8;7;7;12;7;13;10;7;13;15;13;18;10;13;7;13;6;9;5;7;7;2;10;3;6;4;2;2;2;2;0;1;1;0;2;0;1;1;1;2;1;0;2;198;124;183;6;6;15;34;9;
172100005000034;1;397;3;4;3;6;7;4;2;3;7;2;9;5;12;11;17;11;9;10;6;9;11;10;12;10;9;8;6;7;9;5;8;4;7;6;3;4;7;6;10;4;4;11;6;9;9;3;8;6;4;9;7;5;2;2;2;2;3;2;1;3;2;1;1;1;1;0;2;1;1;0;0;1;0;0;1;1;125;85;78;4;1;16;20;9;
172100005000035;1;384;1;5;5;3;2;7;2;4;6;5;1;8;6;9;5;4;5;14;8;11;7;8;9;8;7;12;11;12;7;4;7;6;3;6;3;3;4;7;8;9;7;9;13;3;10;6;5;7;6;3;3;10;1;4;3;6;8;2;3;2;4;3;2;1;2;1;1;1;1;2;0;2;0;0;0;1;134;90;87;6;2;7;19;2;
172100005000036;1;736;1;11;12;7;11;16;12;9;9;12;15;13;10;19;19;26;16;20;22;17;19;19;16;23;14;12;12;13;14;16;16;24;7;10;9;8;11;11;7;11;7;16;7;9;11;17;6;9;14;11;9;5;6;7;2;5;6;2;1;3;4;2;2;2;3;3;2;4;1;1;2;0;1;1;0;6;271;132;137;35;11;39;33;26;
172100005000037;1;458;0;5;2;1;5;2;4;1;3;5;6;6;5;17;19;25;15;27;35;19;21;21;15;16;12;10;19;7;7;9;4;5;5;3;6;5;7;3;4;4;3;5;7;4;5;4;8;4;3;5;2;2;0;3;2;4;1;2;3;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;228;70;54;7;4;36;17;29;
172100005000038;1;879;3;7;9;14;4;18;7;20;12;9;19;14;18;22;20;32;28;38;22;26;23;26;20;20;19;18;19;16;9;18;16;12;14;14;10;8;10;21;13;12;21;12;22;9;14;13;11;8;10;16;9;5;4;7;7;6;3;6;1;5;1;3;2;1;2;1;2;1;1;1;3;1;1;1;1;8;315;147;177;37;9;34;44;56;
172100005000039;1;795;2;3;6;7;7;8;10;12;10;12;11;4;18;22;26;26;39;29;26;26;30;38;33;22;12;24;28;13;20;14;11;12;9;10;10;6;8;13;8;13;11;10;5;11;7;6;10;8;4;10;7;8;10;4;3;6;2;2;3;4;5;4;2;1;0;1;1;5;1;0;1;0;0;2;0;3;375;132;108;17;14;51;24;46;
172100005000040;1;851;1;1;4;9;8;12;4;5;13;7;14;18;16;35;39;42;57;42;51;36;29;28;24;23;15;24;17;15;16;11;14;13;10;7;6;9;13;3;9;11;11;13;5;5;8;6;6;6;5;8;11;4;7;4;3;5;5;0;1;3;5;2;4;0;2;4;1;1;1;2;0;0;2;0;0;0;434;111;114;12;18;47;23;64;
172100005000041;1;603;0;5;2;7;5;12;8;6;8;5;6;4;13;17;33;30;37;30;23;31;20;22;18;16;26;15;11;12;12;14;5;14;6;6;4;7;5;5;9;6;7;5;9;7;7;3;8;5;4;1;4;2;3;3;5;2;1;1;5;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;2;214;83;76;10;4;27;23;41;
172100005000042;1;689;6;4;17;10;9;10;5;11;10;9;8;18;9;13;18;16;4;16;16;13;18;12;11;10;14;11;20;7;14;24;13;15;15;18;11;17;13;16;14;15;19;16;9;13;12;9;11;10;12;9;2;5;9;9;3;4;3;4;1;2;7;1;0;0;0;1;1;1;0;2;1;0;0;2;0;1;228;178;163;16;4;10;19;13;
172100005000043;1;1244;15;17;21;20;19;24;19;23;17;21;18;18;22;24;17;25;17;19;17;23;26;27;30;35;48;37;46;35;41;43;53;31;39;22;36;32;17;22;15;10;16;9;5;12;19;14;5;7;11;16;7;8;8;11;3;8;6;6;4;3;3;2;3;2;2;0;0;1;3;0;2;1;0;0;1;5;431;333;229;17;12;29;55;17;
172100005000044;1;874;5;8;7;11;16;10;11;11;15;24;17;22;20;27;27;29;32;31;20;23;29;25;16;22;16;22;15;18;11;18;14;12;15;18;23;12;13;13;14;15;15;13;12;11;10;13;8;5;11;5;8;5;4;5;4;5;3;5;2;1;1;4;2;2;1;3;0;1;0;1;0;0;0;1;2;4;297;174;224;12;7;30;41;33;
172100005000045;1;951;9;14;14;8;11;11;14;14;13;10;19;20;16;25;29;27;32;30;22;32;26;12;17;29;25;19;21;21;14;27;22;27;19;14;19;23;20;8;20;21;19;19;11;11;2;15;14;7;13;5;8;7;5;7;4;8;2;4;0;4;1;2;1;2;0;1;0;1;0;0;0;1;0;0;0;3;355;192;197;17;12;28;45;43;
172100005000046;1;1195;11;9;19;10;18;20;15;12;22;19;29;19;29;29;31;27;23;21;28;21;27;15;21;29;27;26;23;19;26;18;35;26;26;22;19;19;29;20;14;29;26;29;18;21;18;19;12;7;21;18;10;11;7;8;9;7;10;8;4;7;7;7;4;3;2;3;2;4;3;1;0;0;0;1;0;6;416;266;282;12;11;14;60;33;
172100005000047;1;971;6;9;5;11;10;12;22;10;19;28;14;19;30;22;25;37;26;34;24;25;34;33;21;22;22;23;19;23;7;22;17;22;12;8;13;15;17;15;10;23;13;11;19;13;11;17;11;7;12;8;5;8;9;8;3;6;9;4;6;2;2;2;2;3;2;0;1;0;1;1;0;2;0;0;0;7;344;182;234;7;17;39;47;36;
172100005000048;1;1129;7;9;11;13;18;6;13;15;13;15;18;26;26;52;34;30;43;43;36;31;34;29;38;29;31;30;27;20;22;16;26;16;9;18;10;19;21;16;19;12;15;20;21;16;13;12;9;13;10;9;11;9;4;5;7;7;6;5;4;4;5;4;0;3;0;2;1;1;1;1;0;1;1;2;1;5;457;215;229;15;8;46;47;45;
172100005000049;1;789;10;15;8;15;19;11;13;20;17;17;10;13;13;10;16;10;14;7;17;9;18;16;15;20;13;21;15;15;14;16;25;11;15;13;17;19;14;20;14;12;13;18;15;16;12;14;14;4;14;10;10;5;5;6;3;8;4;3;4;5;0;5;1;2;0;1;1;2;2;0;1;0;0;1;0;3;257;189;189;11;12;12;29;12;
172100005000050;1;819;9;10;13;10;17;13;23;13;14;15;12;18;10;10;6;15;8;12;14;14;23;13;9;25;29;39;35;30;22;32;32;13;18;14;11;18;14;15;11;22;10;21;10;6;13;10;10;7;3;4;4;2;6;3;3;1;1;1;2;4;4;0;0;1;0;0;2;0;1;0;0;2;1;0;0;6;274;237;178;19;4;10;24;13;
172100005000051;1;839;0;5;11;5;10;19;13;15;11;13;12;14;22;16;22;30;35;35;29;27;23;20;29;20;19;21;11;18;22;16;19;9;17;11;7;10;10;8;10;13;14;14;15;11;11;11;6;9;9;6;9;4;8;5;5;4;1;4;3;3;2;5;3;2;1;0;3;3;1;0;2;0;0;1;1;6;305;154;200;7;14;37;58;27;
172100005000052;1;803;3;2;3;12;7;7;8;7;6;12;17;23;22;26;28;30;24;33;30;31;15;25;22;20;16;17;9;15;18;10;9;4;9;10;12;11;16;8;19;18;16;8;17;13;15;5;9;3;10;7;8;9;8;9;5;4;1;4;5;7;4;0;0;2;4;3;2;0;1;0;1;1;0;3;0;5;265;147;222;14;5;33;34;35;
172100005000053;1;952;12;9;15;15;16;21;6;25;19;22;20;14;15;26;16;28;29;24;23;30;32;27;20;17;30;29;28;28;24;24;18;15;26;14;21;20;17;15;12;20;7;13;13;11;13;5;5;6;3;4;7;5;1;4;1;3;1;2;1;1;3;5;1;2;2;0;0;0;0;3;0;0;1;2;1;4;361;211;205;11;7;24;27;21;
172100005000054;1;963;7;15;18;19;18;18;24;20;16;14;22;25;26;24;31;27;32;30;45;30;22;25;28;31;28;25;23;20;20;13;21;15;14;19;9;16;17;10;12;7;10;12;7;8;7;14;5;7;2;6;3;7;4;2;1;3;3;2;1;3;3;1;1;3;2;2;0;1;3;0;1;1;1;0;0;1;326;221;219;11;13;39;42;4;
172100005000055;1;870;5;3;10;5;19;15;18;19;15;16;15;20;19;25;35;28;35;30;35;33;29;20;24;32;19;20;17;22;17;13;11;18;11;15;10;11;14;12;17;16;10;12;7;8;7;7;4;5;8;7;7;3;5;3;1;3;2;2;2;1;0;2;0;2;1;2;0;1;1;1;1;0;1;1;1;4;339;186;185;11;11;28;44;20;
172100005000056;1;735;3;10;11;13;9;10;11;8;15;12;12;20;17;21;22;28;13;22;23;27;24;29;22;26;22;16;15;16;11;14;9;17;11;10;6;14;21;7;15;14;12;6;8;9;4;1;12;3;5;6;10;3;3;3;4;4;2;2;2;0;2;0;1;0;1;1;1;1;1;1;0;0;1;0;0;0;253;146;174;8;4;45;27;11;
172100005000057;1;1338;7;12;19;15;18;18;15;17;14;19;21;29;23;24;26;45;35;43;44;40;49;35;46;52;43;43;34;30;31;27;34;24;17;16;17;25;20;26;26;27;23;13;9;12;18;16;10;12;14;10;10;4;7;15;7;8;9;3;5;3;7;1;3;3;3;0;1;0;0;0;1;0;1;1;1;2;524;250;203;66;9;85;118;2;
172100005000058;1;771;2;0;5;10;13;9;12;14;9;4;14;24;23;19;15;24;26;24;33;14;25;16;26;20;30;25;19;15;18;17;13;14;14;18;16;9;6;7;7;11;12;11;5;8;12;6;8;4;6;5;9;9;7;4;2;5;3;3;6;5;2;4;1;1;0;2;2;3;0;1;0;0;0;0;0;5;308;146;162;10;10;33;41;17;
172100005000059;1;695;3;7;6;10;9;5;7;13;6;6;13;11;15;12;12;8;14;17;14;23;16;24;22;27;27;30;27;19;25;10;28;23;17;10;17;15;19;13;14;9;11;5;6;9;3;6;5;10;4;2;1;6;4;4;5;1;1;0;0;0;1;1;0;2;1;0;1;1;0;1;1;0;0;0;0;0;311;142;105;8;7;34;17;32;
172100005000060;1;804;6;9;12;9;14;10;11;11;13;8;20;24;10;28;20;27;26;22;22;25;34;23;22;16;19;26;14;17;24;17;13;14;15;14;10;9;12;16;14;17;12;12;12;13;10;5;8;5;6;5;2;4;3;6;4;3;3;3;1;0;2;0;1;0;3;0;2;0;0;0;0;2;1;0;1;2;298;163;177;8;6;40;26;28;
172100005000061;1;882;8;10;12;11;19;12;12;8;21;14;14;9;30;25;24;35;29;17;17;18;25;24;18;26;20;23;22;26;14;17;17;17;14;11;14;12;14;11;9;15;20;11;9;14;10;14;8;8;5;13;9;8;7;8;7;3;1;2;2;2;1;2;2;3;2;0;3;1;0;1;1;3;1;3;1;3;297;179;202;15;16;43;35;27;
172100005000062;1;956;3;12;8;10;8;14;6;10;13;11;17;17;17;36;37;39;40;34;36;38;31;27;32;24;30;23;20;11;14;20;13;13;10;11;11;19;8;17;8;17;17;10;10;10;12;9;12;3;13;12;7;6;6;8;6;10;1;6;2;1;4;0;6;3;0;1;0;2;1;2;0;0;3;1;1;6;379;169;160;39;7;62;57;29;
172100005000063;1;869;4;7;10;12;13;12;8;9;8;12;14;22;27;25;29;34;25;18;36;29;28;31;18;27;17;25;20;18;18;13;12;15;12;15;11;18;8;10;17;12;8;14;7;16;7;11;12;10;8;7;4;4;4;3;8;6;0;9;4;1;3;3;1;1;2;4;1;1;2;0;1;0;0;0;1;7;330;159;197;13;9;36;40;33;
172100005000064;1;1018;1;9;9;12;19;11;20;17;11;15;27;24;33;31;29;30;25;40;43;28;28;27;22;22;20;30;18;28;22;12;21;14;16;13;21;16;25;14;16;20;13;19;11;15;7;10;12;5;12;7;9;6;6;4;6;3;6;4;2;2;5;0;6;0;0;0;3;1;1;0;0;1;0;0;1;2;339;191;272;10;8;39;70;29;
172100005000065;1;912;4;2;10;16;16;11;14;15;18;11;26;19;24;34;24;32;33;30;36;27;22;14;28;19;16;25;17;15;15;24;12;13;15;17;13;14;12;13;16;16;13;7;17;11;17;7;8;9;6;8;6;6;10;5;3;5;4;1;2;2;2;0;3;3;1;6;1;2;1;0;0;2;0;2;0;4;311;166;235;10;25;35;44;29;
172100005000066;1;928;3;5;11;13;15;13;10;15;10;22;21;21;20;20;23;24;31;26;21;23;20;20;25;20;25;22;25;23;19;17;19;9;8;15;11;24;21;14;14;21;18;13;15;14;14;8;12;11;13;11;8;12;7;6;6;5;2;3;4;4;1;2;4;2;3;0;0;0;1;1;1;1;1;0;0;6;324;211;235;11;9;15;26;39;
172100005000067;1;1228;14;19;22;28;15;24;16;15;31;24;23;19;23;31;39;29;33;23;32;39;32;33;27;31;33;30;17;22;26;29;35;28;26;27;21;21;24;21;17;19;12;14;20;10;18;9;12;11;14;10;5;6;7;8;8;3;7;4;3;5;2;2;1;4;1;1;1;2;0;1;1;0;0;2;1;5;410;271;295;12;8;44;58;19;
172100005000068;1;718;6;8;19;8;12;10;11;13;11;12;18;15;17;26;19;18;19;23;15;17;18;20;19;18;18;19;13;14;16;11;11;14;14;10;12;11;15;9;12;11;11;8;8;14;4;9;8;3;7;11;4;3;3;6;3;1;2;2;0;3;1;4;0;3;1;0;3;2;2;2;2;1;1;0;1;3;239;157;160;9;11;25;36;7;
172100005000069;1;847;7;6;8;11;15;15;9;13;13;10;14;22;19;23;19;27;36;40;19;28;21;26;18;28;19;18;22;23;11;18;9;23;8;18;6;18;13;13;17;11;13;15;14;15;13;7;8;9;7;2;8;3;4;5;4;7;1;0;0;1;3;1;1;1;0;1;2;1;2;1;0;1;0;0;0;3;294;171;202;5;19;33;44;23;
172100005000070;1;857;1;6;15;12;21;19;21;22;11;16;15;12;14;31;12;25;18;8;16;20;22;34;22;28;26;28;23;39;33;18;32;19;18;21;13;22;14;8;8;7;7;6;9;8;8;11;5;7;4;3;2;2;3;7;4;1;2;3;2;2;1;1;4;0;0;0;0;1;0;0;1;0;0;0;1;2;293;198;146;51;2;49;57;5;
172100005000071;1;807;2;5;17;15;9;14;12;11;17;21;17;14;24;23;16;26;19;31;29;28;25;29;21;20;19;19;18;23;17;14;19;17;13;13;14;12;6;10;8;13;15;11;3;6;8;14;5;5;8;3;5;7;0;7;2;4;1;2;2;1;0;2;3;0;2;3;2;0;0;0;1;1;0;0;1;3;279;160;202;4;10;31;44;24;
172100005000072;1;751;5;11;6;6;11;11;7;9;8;17;19;12;19;22;30;25;30;24;18;32;20;32;29;29;16;15;15;19;13;19;11;14;12;14;9;6;11;11;11;7;12;8;3;6;4;9;2;5;8;4;5;3;4;2;4;2;2;4;2;1;4;2;1;2;0;1;2;1;1;1;1;0;2;0;0;8;269;120;172;11;21;46;42;24;
172100005000073;1;707;2;10;8;18;7;11;16;13;9;15;11;20;13;26;13;29;21;21;28;19;22;14;14;23;18;20;17;20;16;9;14;7;10;9;8;11;9;13;7;13;13;10;7;12;3;7;7;8;7;1;5;3;3;3;7;4;4;1;3;0;3;0;1;0;3;0;0;2;1;0;1;0;0;1;0;3;251;135;188;5;11;26;20;9;
172100005000074;1;754;3;9;9;15;13;18;14;9;11;17;13;14;16;25;22;31;36;29;26;26;18;20;25;22;15;22;17;17;14;11;17;14;11;7;12;18;9;13;8;7;9;6;7;7;6;3;5;4;5;4;7;2;5;4;1;2;2;1;3;4;2;1;2;1;0;2;1;1;0;0;0;2;0;0;0;2;281;156;175;6;3;24;31;3;
172100005000075;1;1131;2;11;8;17;14;23;18;24;17;19;29;26;29;39;35;49;36;44;29;37;47;35;39;35;32;30;25;21;21;22;17;14;16;23;14;17;14;12;18;12;16;14;14;7;14;13;5;4;6;6;5;6;4;2;5;5;6;7;1;1;4;2;1;1;1;3;0;1;0;1;1;1;0;0;1;3;395;220;307;10;17;40;69;20;
