Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;
172120805000018;1;42;51;17;1;2;2;0;0;0;20;5806;24734;12855;1250;4250;6900;0;0;0;135;115;55795;0;22;11;1;2;0;0;0;0;3;0;10710;8591;1250;4250;0;0;0;0;39;36;24801;42;29;6;0;0;2;0;0;0;17;5806;14024;4264;0;0;6900;0;0;0;96;79;30994;42;51;17;1;2;2;0;0;0;20;5806;24734;12855;1250;4250;6900;0;0;0;135;115;55795;0;22;11;1;2;0;0;0;0;3;0;10710;8591;1250;4250;0;0;0;0;39;36;24801;42;29;6;0;0;2;0;0;0;17;5806;14024;4264;0;0;6900;0;0;0;96;79;30994;
172120805000019;8;15;56;18;4;1;1;1;1;0;10;2101;27340;13921;6030;2530;3500;7000;7800;0;107;97;70222;9;45;14;3;1;1;1;1;0;6;1394;21730;10781;4500;2530;3500;7000;7800;0;81;75;59235;6;11;4;1;0;0;0;0;0;4;707;5610;3140;1530;0;0;0;0;0;26;22;10987;15;56;18;4;1;1;1;1;0;10;2101;27340;13921;6030;2530;3500;7000;7800;0;107;97;70222;9;45;14;3;1;1;1;1;0;6;1394;21730;10781;4500;2530;3500;7000;7800;0;81;75;59235;6;11;4;1;0;0;0;0;0;4;707;5610;3140;1530;0;0;0;0;0;26;22;10987;
172120805000020;8;58;183;35;6;4;3;0;0;0;27;8569;88308;27177;7945;7700;11600;0;0;0;316;289;151299;38;133;28;5;4;2;0;0;0;14;6217;63573;21488;6445;7700;8500;0;0;0;224;210;113923;20;50;7;1;0;1;0;0;0;13;2352;24735;5689;1500;0;3100;0;0;0;92;79;37376;58;183;35;6;4;3;0;0;0;27;8569;88308;27177;7945;7700;11600;0;0;0;316;289;151299;38;133;28;5;4;2;0;0;0;14;6217;63573;21488;6445;7700;8500;0;0;0;224;210;113923;20;50;7;1;0;1;0;0;0;13;2352;24735;5689;1500;0;3100;0;0;0;92;79;37376;
172120805000021;5;8;61;16;1;0;0;0;0;0;2;1196;29974;12622;1200;0;0;0;0;0;88;86;44992;6;38;9;0;0;0;0;0;0;0;950;18620;7165;0;0;0;0;0;0;53;53;26735;2;23;7;1;0;0;0;0;0;2;246;11354;5457;1200;0;0;0;0;0;35;33;18257;8;61;16;1;0;0;0;0;0;2;1196;29974;12622;1200;0;0;0;0;0;88;86;44992;6;38;9;0;0;0;0;0;0;0;950;18620;7165;0;0;0;0;0;0;53;53;26735;2;23;7;1;0;0;0;0;0;2;246;11354;5457;1200;0;0;0;0;0;35;33;18257;
172120805000022;5;25;66;19;1;2;1;0;0;0;11;3242;31718;14477;1400;4150;3000;0;0;0;125;114;57987;9;45;12;1;1;1;0;0;0;3;1481;21638;8167;1400;2250;3000;0;0;0;72;69;37936;16;21;7;0;1;0;0;0;0;8;1761;10080;6310;0;1900;0;0;0;0;53;45;20051;25;66;19;1;2;1;0;0;0;11;3242;31718;14477;1400;4150;3000;0;0;0;125;114;57987;9;45;12;1;1;1;0;0;0;3;1481;21638;8167;1400;2250;3000;0;0;0;72;69;37936;16;21;7;0;1;0;0;0;0;8;1761;10080;6310;0;1900;0;0;0;0;53;45;20051;
172120805000023;8;24;37;8;1;1;0;0;0;0;70;2813;18145;5920;1200;1800;0;0;0;0;141;71;29878;4;29;6;1;1;0;0;0;0;63;425;14175;4350;1200;1800;0;0;0;0;104;41;21950;20;8;2;0;0;0;0;0;0;7;2388;3970;1570;0;0;0;0;0;0;37;30;7928;24;37;8;1;1;0;0;0;0;70;2813;18145;5920;1200;1800;0;0;0;0;141;71;29878;4;29;6;1;1;0;0;0;0;63;425;14175;4350;1200;1800;0;0;0;0;104;41;21950;20;8;2;0;0;0;0;0;0;7;2388;3970;1570;0;0;0;0;0;0;37;30;7928;
172120805000024;7;6;19;6;1;0;0;0;0;0;24;793;9110;4269;1040;0;0;0;0;0;56;32;15212;2;16;4;1;0;0;0;0;0;24;323;7580;2679;1040;0;0;0;0;0;47;23;11622;4;3;2;0;0;0;0;0;0;0;470;1530;1590;0;0;0;0;0;0;9;9;3590;6;19;6;1;0;0;0;0;0;24;793;9110;4269;1040;0;0;0;0;0;56;32;15212;2;16;4;1;0;0;0;0;0;24;323;7580;2679;1040;0;0;0;0;0;47;23;11622;4;3;2;0;0;0;0;0;0;0;470;1530;1590;0;0;0;0;0;0;9;9;3590;
172120805000025;7;1;4;2;0;0;0;0;0;0;7;134;1930;1222;0;0;0;0;0;0;14;7;3286;0;2;1;0;0;0;0;0;0;7;0;910;600;0;0;0;0;0;0;10;3;1510;1;2;1;0;0;0;0;0;0;0;134;1020;622;0;0;0;0;0;0;4;4;1776;1;4;2;0;0;0;0;0;0;7;134;1930;1222;0;0;0;0;0;0;14;7;3286;0;2;1;0;0;0;0;0;0;7;0;910;600;0;0;0;0;0;0;10;3;1510;1;2;1;0;0;0;0;0;0;0;134;1020;622;0;0;0;0;0;0;4;4;1776;
172120805000026;7;3;4;1;0;0;0;0;0;0;5;468;2040;1020;0;0;0;0;0;0;13;8;3528;0;4;0;0;0;0;0;0;0;5;0;2040;0;0;0;0;0;0;0;9;4;2040;3;0;1;0;0;0;0;0;0;0;468;0;1020;0;0;0;0;0;0;4;4;1488;3;4;1;0;0;0;0;0;0;5;468;2040;1020;0;0;0;0;0;0;13;8;3528;0;4;0;0;0;0;0;0;0;5;0;2040;0;0;0;0;0;0;0;9;4;2040;3;0;1;0;0;0;0;0;0;0;468;0;1020;0;0;0;0;0;0;4;4;1488;
172120805000027;7;3;2;0;0;0;0;0;0;0;4;369;1020;0;0;0;0;0;0;0;9;5;1389;0;2;0;0;0;0;0;0;0;3;0;1020;0;0;0;0;0;0;0;5;2;1020;3;0;0;0;0;0;0;0;0;1;369;0;0;0;0;0;0;0;0;4;3;369;3;2;0;0;0;0;0;0;0;4;369;1020;0;0;0;0;0;0;0;9;5;1389;0;2;0;0;0;0;0;0;0;3;0;1020;0;0;0;0;0;0;0;5;2;1020;3;0;0;0;0;0;0;0;0;1;369;0;0;0;0;0;0;0;0;4;3;369;
